Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,BlockingTotalSnaps,BlockingTotalSnapsPercentage,RunBlockingSnaps,PassBlockingSnaps,OffenseOverallGrade,RunBlockingGrade,PassBlockingGrade,PressuresAllowedTotalSnaps,PressuresAllowedTotalSnapsPercentage,PressuresAllowedSacks,PressuresAllowedHits,PressuresAllowedHurries,PressuresAllowedTotal,PressuresAllowedEfficiency,Penalties,SnapsAtLeftTackle,SnapsAtLeftGuard,SnapsAtCenter,SnapsAtRightGuard,SnapsAtRightTackle,SnapsAtInlineTightEnd
Tyler Allgeier,#25,HB,17.0,358,56,15.6,24.0,32.0,82.9,43.4,90.3,30.0,21.7,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,0.0,0,0.0,5.0
Jake Matthews,#70,T,17.0,"1,061","1,061",100.0,465.0,596.0,71.2,60.2,80.1,567.0,100.0,5.0,5.0,17.0,27.0,97.2,6 (1),"1,045",0,0.0,0,0.0,16.0
Kyle Hinton,#68,G,4.0,63,63,100.0,35.0,28.0,59.8,54.5,79.2,27.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0,1,0.0,62,0.0,0.0
Chris Lindstrom,#63,G,16.0,"1,066","1,066",100.0,460.0,606.0,87.6,87.5,78.6,574.0,100.0,3.0,2.0,10.0,15.0,98.4,7 (2),1,0,0.0,"1,065",0.0,0.0
Cordarrelle Patterson,#84,HB,14.0,177,36,20.3,33.0,3.0,62.7,58.1,78.3,3.0,3.4,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,0.0,0,0.0,6.0
Kyle Pitts,#08,TE,17.0,726,240,33.1,230.0,10.0,68.1,31.2,77.6,8.0,1.7,0.0,0.0,0.0,0.0,100.0,4 (2),1,0,0.0,0,2.0,157.0
Jonnu Smith,#81,TE,17.0,653,257,39.4,213.0,44.0,59.1,43.7,75.4,41.0,9.9,0.0,0.0,3.0,3.0,96.3,5 (2),1,0,0.0,0,1.0,274.0
Tyler Vrabel,#73,T,1.0,57,57,100.0,20.0,37.0,68.1,62.1,71.6,33.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),54,0,0.0,0,0.0,3.0
Parker Hesse,#46,TE,3.0,48,44,91.7,42.0,2.0,48.4,50.9,70.9,2.0,33.3,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,0.0,0,0.0,33.0
Kaleb McGary,#76,T,14.0,847,846,99.9,368.0,478.0,75.5,76.5,69.5,455.0,99.8,4.0,4.0,9.0,17.0,97.7,3 (1),0,0,0.0,1,842.0,4.0
