Rank,PLAYER,#,POS,#G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,OFF,PASS,RUN,FUM,BTT,BTT%,TWP,TWP%,aDoT,ADJ%,DRP,DRP%,BAT,HAT,TA,DPR,SK,P2S%,TTT,SCR,1st,NFL,PEN
1,Drake London,#05,WR,1,1,1,1,100.0,22,22.0,0,0,78.9,69.5,-,81.4,0,0.0,0,0.0,12.0,100.0,0,0.0,0,0,0,1,0,0.0,4.00,0,1,118.8,1 (0)
2,Jonnu Smith,#81,TE,1,1,1,0,0.0,0,0.0,0,0,59.1,56.3,56.9,37.5,0,0.0,0,0.0,9.0,0.0,0,,0,0,0,0,0,,3.30,0,0,39.6,5 (2)
3,Desmond Ridder,#09,QB,15,439,388,249,64.2,"2,836",7.3,12,12,51.9,53.2,48.8,27.6,13,3.2,26,5.6,8.5,72.7,15,5.7,8,0,15,139,31,22.3,2.68,19,146,83.4,5 (0)
4,Taylor Heinicke,#04,QB,5,157,136,74,54.4,890,6.5,5,4,52.5,48.5,70.7,67.2,4,2.9,9,5.6,8.6,64.5,4,5.1,2,2,9,44,8,18.2,2.99,13,46,74.7,0 (0)
5,Logan Woodside,#11,QB,1,6,4,3,75.0,27,6.8,0,1,24.8,24.9,58.3,68.9,0,0.0,1,16.7,2.0,75.0,0,0.0,0,0,0,2,1,50.0,2.55,1,3,53.1,0 (0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
