OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_Rank,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_Player,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_JerseyNumber,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_Position,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_GamesPlayed,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnaps,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnaps.1,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnapsPercentage,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingGrade,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingPenalties,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnapsInZoneScheme,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnapsInZoneSchemePercentage,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingGradeInZoneScheme,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnapsInGapScheme,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnapsInGapSchemePercentage,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingGradeInGapScheme
1.0,Tyler Smith,#73,G,15.0,355.0,355.0,100.0,80.7,4 (1),165.0,46.5,79.7,126.0,35.5,76.5
2.0,Jalen Brooks,#83,WR,7.0,42.0,42.0,100.0,74.7,0 (0),14.0,33.3,60.6,15.0,35.7,61.6
3.0,Tyron Smith,#77,T,14.0,332.0,332.0,100.0,68.4,1 (0),161.0,48.5,57.6,124.0,37.3,79.9
4.0,Tyler Biadasz,#63,C,17.0,395.0,395.0,100.0,68.3,2 (0),190.0,48.1,72.8,146.0,37.0,53.2
5.0,Asim Richards,#76,T,5.0,24.0,24.0,100.0,63.0,0 (0),6.0,25.0,68.3,12.0,50.0,56.8
6.0,Tony Pollard,#20,HB,18.0,315.0,43.0,13.7,62.8,0 (0),7.0,16.3,60.5,9.0,20.9,52.5
7.0,Zack Martin,#70,G,16.0,348.0,348.0,100.0,62.3,0 (0),160.0,46.0,61.2,135.0,38.8,59.9
8.0,Sean McKeon,#84,TE,9.0,57.0,57.0,100.0,61.8,2 (0),18.0,31.6,51.0,20.0,35.1,65.3
9.0,Dak Prescott,#04,QB,18.0,426.0,396.0,93.0,60.2,0 (0),197.0,49.7,60.2,161.0,40.7,60.2
10.0,Rico Dowdle,#23,HB,17.0,117.0,24.0,20.5,60.1,0 (0),2.0,8.3,60.0,0.0,0.0,-
11.0,Deuce Vaughn,#42,HB,6.0,31.0,7.0,22.6,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
11.0,Cooper Rush,#10,QB,7.0,41.0,30.0,73.2,60.0,0 (0),14.0,46.7,60.0,15.0,50.0,60.0
13.0,Jake Ferguson,#87,TE,18.0,308.0,308.0,100.0,59.6,1 (0),140.0,45.5,55.0,133.0,43.2,60.8
14.0,Matt Waletzko,#79,T,1.0,3.0,3.0,100.0,59.4,0 (0),0.0,0.0,-,3.0,100.0,59.4
15.0,Luke Schoonmaker,#86,TE,18.0,226.0,226.0,100.0,59.1,1 (0),82.0,36.3,57.6,99.0,43.8,55.4
16.0,Peyton Hendershot,#89,TE,9.0,87.0,86.0,98.9,56.9,1 (0),33.0,38.4,57.0,45.0,52.3,58.0
17.0,Chuma Edoga,#71,T,13.0,169.0,169.0,100.0,56.8,1 (0),71.0,42.0,56.6,75.0,44.4,60.8
18.0,Terence Steele,#78,T,18.0,464.0,464.0,100.0,56.5,1 (0),214.0,46.1,65.5,176.0,37.9,54.4
19.0,Hunter Luepke,#40,FB,17.0,101.0,95.0,94.1,55.6,0 (0),29.0,30.5,54.4,35.0,36.8,44.5
20.0,KaVontae Turpin,#09,WR,14.0,53.0,43.0,81.1,54.6,0 (0),22.0,51.2,59.6,8.0,18.6,52.8
21.0,Brock Hoffman,#67,C,8.0,98.0,98.0,100.0,54.3,1 (0),42.0,42.9,58.0,39.0,39.8,63.4
21.0,CeeDee Lamb,#88,WR,18.0,336.0,321.0,95.5,54.3,2 (0),170.0,53.0,51.6,120.0,37.4,60.6
23.0,T.J. Bass,#66,G,12.0,154.0,154.0,100.0,54.2,0 (0),61.0,39.6,51.9,63.0,40.9,64.6
24.0,Brandin Cooks,#03,WR,17.0,262.0,257.0,98.1,43.6,0 (0),147.0,57.2,56.3,85.0,33.1,60.3
25.0,Jalen Tolbert,#18,WR,18.0,192.0,192.0,100.0,42.2,0 (0),91.0,47.4,55.4,74.0,38.5,58.4
26.0,Michael Gallup,#13,WR,18.0,201.0,201.0,100.0,37.6,0 (0),104.0,51.7,59.9,72.0,35.8,50.4
,,,,,,,,,,,,,,,
