Week,Away,Opponent,Date,Time,Result,PointsFor,PointsAgainst,OverallGrade,OffenseGrade,PassingGrade,PassBlockingGrade,ReceivingGrade,RushingGrade,RunBlockingGrade,DefenseGrade,RunDefenseGrade,TacklingGrade,PassRushGrade,CoverageGrade,SpecialTeamsGrade,GameReports
1,@,New York Giants,09/10,8:20pm,W,40.0,0.0,82.0,65.3,67.6,82.1,52.6,57.5,72.3,87.7,65.6,79.2,87.9,84.6,90.6,Game Reports
2,,New York Jets,09/17,4:25pm,W,30.0,10.0,81.3,68.9,66.7,53.2,73.3,67.2,58.1,89.4,83.1,64.0,78.1,80.6,64.0,Game Reports
3,@,Arizona Cardinals,09/24,4:25pm,L,16.0,28.0,63.7,65.2,44.4,61.7,64.9,82.8,69.4,59.8,52.2,54.5,68.0,66.0,47.1,Game Reports
4,,New England Patriots,10/01,4:25pm,W,38.0,3.0,83.1,74.9,83.7,67.3,72.1,52.2,68.0,80.0,66.1,76.6,81.5,73.7,70.9,Game Reports
5,@,San Francisco 49ers,10/08,8:20pm,L,10.0,42.0,53.5,53.2,45.0,28.3,60.3,55.4,66.8,53.2,48.0,61.0,81.7,53.4,74.8,Game Reports
6,@,Los Angeles Chargers,10/16,8:15pm,W,20.0,17.0,75.1,72.4,90.7,72.3,69.5,58.3,52.7,71.5,91.3,62.3,79.8,51.9,60.9,Game Reports
8,,Los Angeles Rams,10/29,1:00pm,W,43.0,20.0,85.3,80.4,88.4,74.3,77.7,69.3,51.3,67.9,63.9,64.6,65.4,66.5,83.6,Game Reports
9,@,Philadelphia Eagles,11/05,4:25pm,L,23.0,28.0,77.3,72.6,75.2,46.9,74.7,60.1,67.3,70.2,63.2,83.8,79.4,62.6,75.3,Game Reports
10,,New York Giants,11/12,4:25pm,W,49.0,17.0,88.7,85.6,85.7,66.2,83.3,77.4,58.9,78.5,70.0,66.1,74.7,80.6,52.7,Game Reports
11,@,Carolina Panthers,11/19,1:00pm,W,33.0,10.0,82.5,73.7,79.7,74.8,61.5,72.8,68.9,86.4,54.1,75.6,90.4,85.0,55.0,Game Reports
12,,Washington Commanders,11/23,4:30pm,W,45.0,10.0,90.1,92.0,95.3,76.3,76.4,72.8,77.6,75.1,65.8,66.8,66.5,76.5,63.4,Game Reports
13,,Seattle Seahawks,11/30,8:15pm,W,41.0,35.0,71.2,73.6,78.1,60.1,68.8,74.0,61.4,60.8,77.9,59.9,73.9,47.4,65.0,Game Reports
14,,Philadelphia Eagles,12/10,8:20pm,W,33.0,13.0,79.8,71.9,74.3,76.8,68.7,62.8,61.9,72.8,75.5,76.7,68.7,66.5,62.5,Game Reports
15,@,Buffalo Bills,12/17,4:25pm,L,10.0,31.0,56.8,56.3,36.8,78.3,54.4,78.9,55.7,58.7,47.6,37.6,74.3,65.6,58.4,Game Reports
16,@,Miami Dolphins,12/24,4:25pm,L,20.0,22.0,60.1,64.5,66.7,54.7,71.1,68.8,41.9,51.6,72.9,79.4,77.8,29.9,65.1,Game Reports
17,,Detroit Lions,12/30,8:15pm,W,20.0,19.0,76.0,72.9,76.6,65.7,71.0,70.7,56.9,68.6,55.2,72.3,78.6,67.3,73.1,Game Reports
18,@,Washington Commanders,01/07,4:25pm,W,38.0,10.0,89.3,81.5,79.7,74.9,77.0,81.7,58.2,88.9,83.2,62.4,77.3,81.0,57.0,Game Reports
WC,,Green Bay Packers,01/14,4:30pm,L,32.0,48.0,64.2,70.6,56.5,80.3,70.2,76.6,54.9,47.0,59.7,66.0,63.3,30.2,54.1,Game Reports
,,,,,,,,,,,,,,,,,,,,,
