OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Rank,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Player,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_JerseyNumber,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Position,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_GamesPlayed,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_OffenseTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_BlockingTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_BlockingTotalSnapsPercentage,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_RunBlockingSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PassBlockingSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_OffenseOverallGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_RunBlockingGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PassBlockingGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotalSnapsPercentage,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedSacks,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedHits,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedHurries,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotal,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedEfficiency,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Penalties,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtLeftTackle,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtLeftGuard,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtCenter,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtRightGuard,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtRightTackle,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtInlineTightEnd
1.0,Tyron Smith,#77,T,14.0,942,942,100.0,332.0,610.0,83.7,68.4,89.3,569.0,100.0,3.0,1.0,17.0,21.0,97.9,3 (0),935.0,0,0,0,0,7.0
2.0,Peyton Hendershot,#89,TE,9.0,162,95,58.6,86.0,9.0,44.2,56.9,85.1,8.0,11.0,0.0,0.0,0.0,0.0,100.0,2 (0),0.0,0,0,0,0,100.0
3.0,Sean McKeon,#84,TE,9.0,100,67,67.0,57.0,10.0,54.8,61.8,79.2,10.0,24.4,0.0,0.0,0.0,0.0,100.0,2 (0),0.0,0,0,0,0,84.0
4.0,Zack Martin,#70,G,16.0,"1,003","1,003",100.0,348.0,655.0,68.0,62.3,75.1,609.0,100.0,4.0,9.0,11.0,24.0,97.7,3 (2),0.0,0,0,"1,003",0,0.0
5.0,Jake Ferguson,#87,TE,18.0,955,342,35.8,308.0,34.0,74.5,59.6,73.1,31.0,5.1,0.0,0.0,0.0,0.0,100.0,4 (0),1.0,0,0,0,0,545.0
6.0,Tony Pollard,#20,HB,18.0,903,158,17.5,43.0,115.0,77.5,62.8,70.6,108.0,19.7,2.0,2.0,3.0,7.0,95.8,0 (0),0.0,0,0,0,0,0.0
7.0,Tyler Smith,#73,G,15.0,"1,037","1,037",100.0,355.0,682.0,74.4,80.7,70.2,635.0,100.0,1.0,2.0,14.0,17.0,98.6,13 (3),0.0,"1,036",0,0,0,0.0
8.0,KaVontae Turpin,#09,WR,17.0,155,44,28.4,43.0,1.0,67.7,54.6,66.2,1.0,1.0,0.0,0.0,0.0,0.0,100.0,1 (0),0.0,0,0,0,0,0.0
9.0,Tyler Biadasz,#63,C,17.0,"1,123","1,123",100.0,395.0,728.0,69.2,68.3,64.6,680.0,100.0,3.0,4.0,20.0,27.0,97.8,4 (1),0.0,0,"1,123",0,0,0.0
10.0,Asim Richards,#76,T,5.0,40,40,100.0,24.0,16.0,64.8,63.0,63.9,15.0,100.0,0.0,0.0,1.0,1.0,96.7,0 (0),27.0,5,0,7,0,0.0
11.0,Trent Sieg,#44,LS,1.0,1,1,100.0,0.0,1.0,60.0,-,63.8,0.0,,0.0,0.0,0.0,0.0,,0 (0),0.0,0,0,0,0,0.0
12.0,Chuma Edoga,#71,T,13.0,420,420,100.0,169.0,251.0,61.4,56.8,63.7,231.0,100.0,3.0,5.0,8.0,16.0,95.9,3 (1),312.0,101,0,0,0,6.0
