Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,CoverageSnaps,CoverageSnapsPercentage,CoverageGrade,CoveragePenalties,CoverageTargets,CoverageReceptionsAllowed,CoverageReceptionPercentage,CoverageYardsAllowed,CoverageYardsPerReceptionAllowed,CoverageYardsAfterCatchAllowed,CoverageAverageDepthOfTarget,CoverageLongestReceptionAllowed,CoverageForcedIncompletions,CoverageForcedIncompletionPercentage,CoveragePassBreakups,CoverageInterceptions,CoverageDrops,CoverageTouchdownsAllowed,CoveragePasserRatingAllowed,CoverageSnapsPerTarget,CoverageSnapsPerReceptionAllowed,CoverageTackles,CoverageAssists,CoverageMissedTackles,CoverageMissedTacklePercentage,CoverageStops
DaRon Bland,#26,CB,18.0,618.0,614.0,99.4,86.4,5 (0),93.0,52.0,55.9,730.0,14.0,278.0,12.1,73.0,9.0,10.0,6.0,9.0,3.0,3.0,52.6,6.1,10.8,44.0,6.0,5.0,9.1,11.0
Juanyeh Thomas,#30,S,14.0,113.0,110.0,97.3,85.9,0 (0),14.0,8.0,57.1,72.0,9.0,70.0,3.4,29.0,4.0,29.0,3.0,0.0,1.0,1.0,94.9,7.1,12.5,8.0,0.0,1.0,11.1,5.0
Markquese Bell,#14,LB,18.0,422.0,401.0,95.0,83.5,3 (1),53.0,38.0,71.7,374.0,9.8,314.0,3.3,39.0,3.0,6.0,3.0,0.0,1.0,3.0,110.1,7.0,9.7,36.0,8.0,4.0,8.3,14.0
Trevon Diggs,#07,CB,2.0,71.0,71.0,100.0,82.8,1 (0),8.0,2.0,25.0,26.0,13.0,20.0,15.9,24.0,3.0,38.0,2.0,1.0,0.0,0.0,1.0,8.5,34.0,3.0,0.0,0.0,0.0,1.0
KaVontae Turpin,#09,WR,2.0,2.0,2.0,100.0,76.6,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
Israel Mukuamu,#24,S,8.0,47.0,47.0,100.0,73.3,1 (0),2.0,1.0,50.0,9.0,9.0,1.0,10.5,9.0,1.0,50.0,1.0,0.0,0.0,0.0,62.5,21.0,42.0,2.0,0.0,0.0,0.0,1.0
Dorance Armstrong,#92,ED,18.0,300.0,10.0,3.3,72.4,1 (0),2.0,2.0,100.0,19.0,9.5,28.0,-4.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,106.3,5.0,5.0,3.0,2.0,2.0,28.6,10.0
Malik Hooker,#28,S,17.0,536.0,530.0,98.9,71.7,0 (0),10.0,8.0,80.0,160.0,20.0,84.0,9.8,69.0,2.0,20.0,1.0,1.0,1.0,2.0,118.8,48.8,61.0,19.0,9.0,3.0,9.7,1.0
C.J. Goodwin,#29,CB,1.0,14.0,14.0,100.0,69.3,0 (0),1.0,1.0,100.0,-3.0,-3.0,2.0,-5.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,79.2,10.0,10.0,1.0,1.0,0.0,0.0,0.0
Stephon Gilmore,#21,CB,18.0,622.0,622.0,100.0,69.3,6 (2),95.0,54.0,56.8,734.0,13.6,221.0,11.2,68.0,14.0,15.0,9.0,2.0,1.0,5.0,90.4,6.0,10.6,55.0,6.0,3.0,4.7,14.0
Damone Clark,#33,LB,18.0,441.0,387.0,87.8,68.8,1 (0),35.0,29.0,82.9,202.0,7.0,176.0,2.3,32.0,3.0,9.0,2.0,0.0,0.0,1.0,100.2,10.1,12.1,31.0,10.0,4.0,8.9,13.0
Micah Parsons,#11,ED,18.0,551.0,19.0,3.4,68.6,7 (1),6.0,4.0,66.7,30.0,7.5,7.0,4.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,78.5,3.2,4.8,5.0,2.0,1.0,12.5,15.0
Osa Odighizuwa,#97,DI,18.0,373.0,1.0,0.3,66.8,2 (1),0.0,0.0,,0.0,,0.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,,,4.0,0.0,1.0,20.0,5.0
Donovan Wilson,#06,S,16.0,473.0,453.0,95.8,66.6,4 (0),29.0,21.0,72.4,217.0,10.3,123.0,6.4,26.0,3.0,10.0,2.0,2.0,1.0,2.0,87.9,14.4,19.9,30.0,4.0,4.0,10.5,7.0
Johnathan Hankins,#95,DI,15.0,189.0,2.0,1.1,65.4,3 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,4.0
DeMarcus Lawrence,#90,ED,18.0,409.0,8.0,2.0,64.9,3 (1),1.0,1.0,100.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,118.8,8.0,8.0,4.0,1.0,5.0,50.0,5.0
Dante Fowler Jr.,#56,ED,18.0,210.0,4.0,1.9,64.3,5 (1),1.0,1.0,100.0,6.0,6.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7,4.0,4.0,2.0,0.0,1.0,33.3,6.0
Devin Harper,#50,LB,1.0,3.0,3.0,100.0,64.1,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,1.0
Leighton Vander Esch,#55,LB,5.0,164.0,133.0,81.1,62.4,0 (0),7.0,5.0,71.4,43.0,8.6,44.0,0.4,19.0,0.0,0.0,0.0,0.0,0.0,0.0,87.2,17.9,25.0,9.0,4.0,0.0,0.0,2.0
Buddy Johnson,#57,LB,1.0,1.0,1.0,100.0,62.2,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0
