Player,JerseyNumber,Position,GamesPlayed,RunBlockingTotalSnaps,RunBlockingTotalSnaps.1,RunBlockingTotalSnapsPercentage,RunBlockingGrade,RunBlockingPenalties,RunBlockingTotalSnapsInZoneScheme,RunBlockingTotalSnapsInZoneSchemePercentage,RunBlockingGradeInZoneScheme,RunBlockingTotalSnapsInGapScheme,RunBlockingTotalSnapsInGapSchemePercentage,RunBlockingGradeInGapScheme
David Edwards,#76,G,16.0,156.0,156.0,100.0,85.9,1 (0),63.0,40.4,89.6,64.0,41.0,70.2
Andy Isabella,#87,WR,1.0,2.0,2.0,100.0,83.5,0 (0),0.0,0.0,-,1.0,50.0,60.0
Ty Johnson,#26,HB,9.0,63.0,15.0,23.8,77.8,0 (0),3.0,20.0,81.0,8.0,53.3,82.5
Ryan Bates,#71,C,6.0,33.0,33.0,100.0,77.2,0 (0),10.0,30.3,60.8,10.0,30.3,82.4
Spencer Brown,#79,T,19.0,530.0,530.0,100.0,73.3,0 (0),170.0,32.1,81.0,287.0,54.2,60.9
Reggie Gilliam,#41,FB,17.0,73.0,73.0,100.0,72.5,1 (0),21.0,28.8,78.3,22.0,30.1,65.2
Deonte Harty,#11,WR,11.0,42.0,38.0,90.5,71.8,0 (0),18.0,47.4,60.4,16.0,42.1,60.6
Dion Dawkins,#73,T,19.0,495.0,495.0,100.0,66.9,3 (2),159.0,32.1,66.4,276.0,55.8,70.3
Ryan Van Demark,#74,T,8.0,39.0,39.0,100.0,64.4,0 (0),13.0,33.3,80.0,13.0,33.3,43.3
Quintin Morris,#85,TE,17.0,140.0,140.0,100.0,64.0,0 (0),58.0,41.4,72.7,55.0,39.3,52.9
Mitch Morse,#60,C,19.0,499.0,499.0,100.0,61.5,0 (0),161.0,32.3,51.3,278.0,55.7,68.2
Tyler Matakevich,#44,LB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Dorian Williams,#42,LB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Reid Ferguson,#69,LS,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Cam Lewis,#39,S,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Tyrel Dodson,#25,LB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Siran Neal,#33,CB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Sam Martin,#08,P,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Kingsley Jonathan,#59,ED,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Damien Harris,#22,HB,6.0,33.0,9.0,27.3,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Kyle Allen,#09,QB,7.0,38.0,25.0,65.8,60.0,0 (0),13.0,52.0,60.0,12.0,48.0,60.0
Josh Allen,#17,QB,19.0,494.0,420.0,85.0,60.0,0 (0),155.0,36.9,60.0,250.0,59.5,60.0
Stefon Diggs,#14,WR,19.0,370.0,368.0,99.5,59.2,0 (0),107.0,29.1,57.0,224.0,60.9,62.6
Leonard Fournette,#05,HB,2.0,19.0,7.0,36.8,59.0,0 (0),1.0,14.3,60.0,1.0,14.3,60.0
O'Cyrus Torrence,#64,G,19.0,532.0,532.0,100.0,58.1,1 (0),171.0,32.1,57.6,288.0,54.1,57.6
Latavius Murray,#28,HB,18.0,112.0,33.0,29.5,57.1,0 (0),0.0,0.0,-,5.0,15.2,59.5
Khalil Shakir,#10,WR,19.0,289.0,288.0,99.7,56.6,0 (0),79.0,27.4,77.5,166.0,57.6,61.2
James Cook,#04,HB,19.0,311.0,37.0,11.9,56.0,0 (0),3.0,8.1,59.2,18.0,48.6,55.6
Dalton Kincaid,#86,TE,18.0,233.0,233.0,100.0,55.8,1 (0),63.0,27.0,51.4,143.0,61.4,63.6
Dawson Knox,#88,TE,14.0,227.0,227.0,100.0,51.1,1 (0),66.0,29.1,70.7,131.0,57.7,46.1
Gabe Davis,#13,WR,17.0,367.0,366.0,99.7,49.8,0 (0),114.0,31.1,69.1,216.0,59.0,59.1
Connor McGovern,#66,G,19.0,504.0,504.0,100.0,44.5,1 (0),162.0,32.1,54.7,280.0,55.6,42.9
Trent Sherfield,#16,WR,19.0,253.0,253.0,100.0,38.6,0 (0),100.0,39.5,60.0,116.0,45.8,57.0
,,,,,,,,,,,,,,
