Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles,Team
Sam Martin,#08,P,19.0,149.0,0.0,0.0,0.0,57.0,0.0,92.0,63.8,-,70.8,-,0 (0),0.0,0.0,2.0,buffalo-bills
Reid Ferguson,#69,LS,19.0,149.0,0.0,0.0,0.0,57.0,0.0,92.0,65.5,-,-,-,0 (0),2.0,1.0,1.0,buffalo-bills
Matt Haack,#39,P,1.0,9.0,0.0,0.0,0.0,3.0,0.0,6.0,60.7,-,65.4,-,0 (0),0.0,0.0,0.0,cleveland-browns
Tyler Bass,#02,K,19.0,198.0,0.0,106.0,0.0,0.0,0.0,92.0,61.1,44.6,-,64.5,0 (0),1.0,0.0,1.0,buffalo-bills
