player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Jordan Phillips,2023,1,3.0,3.0,1.22,0.013,3.408363,3.408363,1.386068,00-0031557,2023,BUF,DL,DT,97.0,1992-09-21,MIA,52.0,31.0
Linval Joseph,2023,1,2.2825,2.2825,1.25,0.01,2.593196,2.593196,1.420151,00-0027885,2023,BUF,DL,NT,93.0,1988-10-10,NYG,46.0,35.0
Poona Ford,2023,1,2.25,2.25,1.5,0.01,2.556272,2.556272,1.704181,00-0034234,2023,BUF,DL,DE,98.0,1995-11-19,,,28.0
DaQuan Jones,2022,2,14.0,7.0,10.625,0.034,17.173871,8.586936,13.033742,00-0031054,2023,BUF,DL,DT,92.0,1991-12-27,TEN,112.0,32.0
Tim Settle,2023,1,3.0,3.0,2.458,0.013,3.408363,3.408363,2.792585,00-0034397,2023,BUF,DL,DT,99.0,1997-07-11,WAS,163.0,26.0
Eli Ankou,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0033598,2023,BUF,DL,DT,51.0,1994-06-08,,,29.0
Andrew Brown,2023,1,1.01,1.01,0.0,0.004,1.147482,1.147482,0.0,00-0034394,2023,BUF,DL,NT,94.0,1995-12-30,CIN,158.0,28.0
Cortez Broughton,2023,1,0.9425,0.9425,0.0025,0.004,1.070794,1.070794,0.00284,00-0035315,2023,BUF,DL,DT,94.0,1996-09-02,LAC,242.0,27.0
D.J. Dale,2023,3,2.715,0.905,0.02,0.004,3.084569,1.02819,0.022722,00-0038675,2023,BUF,DL,DT,61.0,,,,
Kameron Cline,2023,1,0.216,0.216,0.0,0.001,0.245402,0.245402,0.0,00-0035850,2023,BUF,DL,DE,96.0,1998-02-19,,,26.0
Von Miller,2022,6,120.0,20.0,51.435,0.096,147.204611,24.534102,63.095576,00-0027940,2023,BUF,LB,OLB,40.0,1989-03-26,DEN,2.0,35.0
Leonard Floyd,2023,1,7.0,7.0,0.0,0.031,7.952847,7.952847,0.0,00-0033072,2023,BUF,DL,DE,56.0,1992-09-08,CHI,9.0,31.0
