Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties
Josh Allen,#17,QB,19.0,"1,269",775.0,0.0,74.0,420.0,92.1,88.2,-,91.6,60.0,9 (0)
David Edwards,#76,G,17.0,194,3.0,35.0,0.0,156.0,90.2,54.7,68.0,-,85.9,1 (0)
Stefon Diggs,#14,WR,19.0,"1,074",704.0,0.0,2.0,368.0,79.1,79.0,-,72.4,59.2,3 (0)
Ty Johnson,#26,HB,10.0,127,52.0,12.0,48.0,15.0,78.7,64.1,58.9,79.1,77.8,0 (0)
Ryan Bates,#71,C,6.0,35,0.0,2.0,0.0,33.0,78.7,-,70.8,-,77.2,0 (0)
Khalil Shakir,#10,WR,19.0,702,410.0,3.0,1.0,288.0,76.7,76.9,69.9,63.1,56.6,1 (0)
Damien Harris,#22,HB,6.0,60,18.0,9.0,24.0,9.0,76.5,57.3,85.3,75.9,60.0,0 (0)
Dion Dawkins,#73,T,19.0,"1,264",0.0,769.0,0.0,495.0,74.9,-,77.4,-,66.9,9 (3)
James Cook,#04,HB,19.0,713,361.0,41.0,274.0,37.0,71.7,53.0,23.5,79.1,56.0,0 (0)
Spencer Brown,#79,T,19.0,"1,304",0.0,774.0,0.0,530.0,70.1,-,66.5,-,73.3,9 (1)
Deonte Harty,#11,WR,18.0,178,136.0,0.0,4.0,38.0,68.9,69.7,-,51.6,71.8,0 (0)
Dalton Kincaid,#86,TE,18.0,784,545.0,6.0,0.0,233.0,68.8,70.5,44.3,-,55.8,6 (0)
Gabe Davis,#13,WR,17.0,965,591.0,7.0,1.0,366.0,67.9,68.7,65.3,59.5,49.8,0 (0)
Latavius Murray,#28,HB,18.0,375,213.0,50.0,79.0,33.0,65.9,52.7,64.3,74.2,57.1,1 (0)
Kyle Allen,#09,QB,7.0,38,0.0,0.0,13.0,25.0,64.8,-,-,63.0,60.0,0 (0)
Reggie Gilliam,#41,FB,18.0,107,24.0,10.0,0.0,73.0,63.9,49.5,62.8,-,72.5,1 (0)
Mitch Morse,#60,C,19.0,"1,272",0.0,773.0,0.0,499.0,63.9,-,72.5,-,61.5,5 (1)
Andy Isabella,#87,WR,3.0,10,8.0,0.0,0.0,2.0,60.8,54.4,-,-,83.5,0 (0)
Ryan Van Demark,#74,T,9.0,46,0.0,7.0,0.0,39.0,60.2,-,27.2,-,64.4,0 (0)
Dorian Williams,#42,LB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Kingsley Jonathan,#59,ED,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Tyrel Dodson,#25,LB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Cam Lewis,#39,S,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Siran Neal,#33,CB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Reid Ferguson,#69,LS,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Tyler Matakevich,#44,LB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Sam Martin,#08,P,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Leonard Fournette,#05,HB,2.0,26,6.0,1.0,12.0,7.0,59.5,55.1,76.4,60.1,59.0,0 (0)
Damar Hamlin,#03,S,1.0,1,0.0,0.0,1.0,0.0,56.1,-,-,57.0,-,0 (0)
Connor McGovern,#66,G,19.0,"1,278",0.0,774.0,0.0,504.0,55.4,-,73.8,-,44.5,4 (1)
Quintin Morris,#85,TE,17.0,207,58.0,9.0,0.0,140.0,55.2,46.8,71.9,-,64.0,0 (0)
O'Cyrus Torrence,#64,G,19.0,"1,307",0.0,775.0,0.0,532.0,54.9,-,48.2,-,58.1,6 (1)
Dawson Knox,#88,TE,14.0,545,291.0,27.0,0.0,227.0,54.5,56.5,79.5,-,51.1,4 (0)
Trent Sherfield,#16,WR,19.0,499,245.0,1.0,0.0,253.0,51.1,52.8,65.4,-,38.6,1 (0)
,,,,,,,,,,,,,,
