Player,JerseyNumber,Position,GamesPlayed,ReceivingTargets,ReceivingReceptions,ReceivingReceptionPercentage,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingOverallGrade,ReceivingGrade,ReceivingDrops,ReceivingFumbles,ReceivingPassBlockingGrade,ReceivingPassSnaps,ReceivingRoutesRun,ReceivingTargetPercentage,ReceivingPassBlockingSnaps,ReceivingPassBlockingSnapsPercentage,ReceivingSnapsInTheSlot,ReceivingSnapsInTheSlotPercentage,ReceivingSnapsWide,ReceivingSnapsWidePercentage,ReceivingSnapsInline,ReceivingSnapsInlinePercentage,ReceivingYardsAfterCatch,ReceivingYardsAfterCatchPerReception,ReceivingYardsPerRouteRun,ReceivingAverageDepthOfTarget,ReceivingLongestReception,ReceivingDrops.1,ReceivingDropPercentage,ReceivingContestedTargets,ReceivingContestedCatches,ReceivingContestedCatchPercentage,ReceivingInterceptionsThrownWhenTargeted,ReceivingFumbles.1,ReceivingMissedTacklesForced,ReceivingFirstDowns,ReceivingPasserRatingWhenTargeted,ReceivingPenalties
Stefon Diggs,#14,WR,19.0,175.0,117.0,66.9,"1,256",10.7,8.0,79.1,79.0,77.7,39.4,-,704.0,665.0,94.5,0.0,0.0,251.0,35.7,444.0,63.1,0.0,0.0,460.0,3.9,1.89,10.6,55.0,8.0,6.4,31.0,13.0,41.9,4.0,3.0,21.0,63.0,93.4,3 (0)
Khalil Shakir,#10,WR,19.0,56.0,49.0,87.5,686,14.0,4.0,76.7,76.9,86.6,82.9,69.9,413.0,393.0,95.2,3.0,0.7,317.0,76.8,92.0,22.3,4.0,1.0,341.0,7.0,1.75,7.4,81.0,1.0,2.0,5.0,3.0,60.0,0.0,0.0,6.0,32.0,141.5,1 (0)
Dalton Kincaid,#86,TE,18.0,101.0,81.0,80.2,777,9.6,3.0,68.8,70.5,79.1,51.8,44.3,551.0,516.0,93.6,6.0,1.1,334.0,60.6,102.0,18.5,107.0,19.4,352.0,4.3,1.51,7.0,51.0,4.0,4.7,9.0,5.0,55.6,3.0,1.0,10.0,34.0,96.2,6 (0)
Deonte Harty,#11,WR,18.0,23.0,17.0,73.9,187,11.0,1.0,68.9,69.7,82.2,62.8,-,136.0,127.0,93.4,0.0,0.0,72.0,52.9,58.0,42.6,0.0,0.0,110.0,6.5,1.47,9.9,43.0,0.0,0.0,2.0,1.0,50.0,2.0,0.0,5.0,10.0,75.8,0 (0)
Gabe Davis,#13,WR,17.0,78.0,45.0,57.7,746,16.6,7.0,67.9,68.7,63.6,36.2,65.3,598.0,555.0,92.8,7.0,1.2,100.0,16.7,493.0,82.4,3.0,0.5,179.0,4.0,1.34,15.6,57.0,4.0,8.2,14.0,7.0,50.0,6.0,1.0,7.0,34.0,87.9,0 (0)
Ty Johnson,#26,HB,9.0,10.0,8.0,80.0,76,9.5,1.0,78.7,64.1,76.5,52.2,58.9,64.0,50.0,78.1,12.0,18.8,3.0,4.7,20.0,31.3,1.0,1.6,73.0,9.1,1.52,2.1,28.0,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,3.0,131.7,0 (0)
Damien Harris,#22,HB,5.0,2.0,2.0,100.0,16,8.0,0.0,76.5,57.3,68.3,78.8,85.3,27.0,15.0,55.6,9.0,33.3,3.0,11.1,1.0,3.7,0.0,0.0,16.0,8.0,1.07,0.0,13.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,100.0,0 (0)
Dawson Knox,#88,TE,14.0,38.0,24.0,63.2,199,8.3,3.0,54.5,56.5,34.9,75.7,79.5,318.0,273.0,85.8,27.0,8.5,124.0,39.0,53.0,16.7,126.0,39.6,102.0,4.3,0.73,7.1,17.0,4.0,14.3,6.0,0.0,0.0,2.0,0.0,1.0,15.0,80.9,4 (0)
Andy Isabella,#87,WR,3.0,1.0,0.0,0.0,0,,0.0,60.8,54.4,-,66.5,-,8.0,7.0,87.5,0.0,0.0,3.0,37.5,5.0,62.5,0.0,0.0,0.0,,0.0,-7.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,39.6,0 (0)
James Cook,#04,HB,19.0,62.0,52.0,83.9,472,9.1,4.0,71.7,53.0,46.3,56.2,23.5,402.0,343.0,85.3,41.0,10.2,33.0,8.2,36.0,9.0,0.0,0.0,452.0,8.7,1.38,1.8,48.0,7.0,11.9,2.0,0.0,0.0,0.0,1.0,12.0,17.0,119.9,0 (0)
