Player,JerseyNumber,Position,GamesPlayed,PassBlockingTotalSnaps,PassBlockingTotalSnaps.1,PassBlockingTotalSnapsPercentage,PassBlockingGrade,PassBlockingPenalties,PassBlockingPressuresAllowedTotalSnaps,PassBlockingPressuresAllowedTotalSnapsPercentage,PassBlockingPressuresAllowedSacks,PassBlockingPressuresAllowedHits,PassBlockingPressuresAllowedHurries,PassBlockingPressuresAllowedTotal,PassBlockingPressuresAllowedEfficiency,TruePassSetSnaps,TruePassSetSnaps.1,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetPressuresAllowedTotalSnaps,TruePassSetPressuresAllowedTotalSnapsPercentage,TruePassSetPressuresAllowedSacks,TruePassSetPressuresAllowedHits,TruePassSetPressuresAllowedHurries,TruePassSetPressuresAllowedTotal,TruePassSetPressuresAllowedEfficiency
Hayden Hurst,#81,TE,9.0,249.0,5.0,2.0,78.7,0 (0),5.0,2.2,0.0,0.0,0.0,0.0,100.0,161.0,2.0,1.2,74.9,2.0,1.4,0.0,0.0,0.0,0.0,100.0
Taylor Moton,#72,T,17.0,730.0,730.0,100.0,78.1,1 (0),684.0,100.0,1.0,0.0,40.0,41.0,96.9,420.0,420.0,100.0,73.2,391.0,100.0,1.0,0.0,36.0,37.0,95.1
Jonathan Mingo,#15,WR,15.0,578.0,6.0,1.0,76.4,0 (0),5.0,0.9,0.0,0.0,0.0,0.0,100.0,338.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Stephen Sullivan,#84,TE,11.0,136.0,3.0,2.2,73.7,0 (0),3.0,2.3,0.0,0.0,0.0,0.0,100.0,88.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Giovanni Ricci,#45,TE,2.0,6.0,1.0,16.7,70.2,0 (0),1.0,16.7,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
David Sharpe,#74,T,1.0,1.0,1.0,100.0,68.5,0 (0),0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
Chandler Wooten,#57,LB,1.0,1.0,1.0,100.0,62.7,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
Claudin Cherelus,#53,LB,1.0,1.0,1.0,100.0,62.7,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
Kamu Grugier-Hill,#54,LB,1.0,1.0,1.0,100.0,62.7,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
Ikem Ekwonu,#79,T,17.0,730.0,730.0,100.0,62.3,4 (2),684.0,100.0,11.0,9.0,24.0,44.0,96.0,420.0,420.0,100.0,56.9,391.0,100.0,9.0,6.0,17.0,32.0,94.8
Tommy Tremble,#82,TE,16.0,286.0,22.0,7.7,62.0,1 (0),20.0,7.4,0.0,1.0,0.0,1.0,97.5,147.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Chuba Hubbard,#30,HB,17.0,422.0,110.0,26.1,61.6,0 (0),101.0,25.6,3.0,1.0,7.0,11.0,93.1,256.0,62.0,24.2,52.3,57.0,23.9,3.0,1.0,5.0,9.0,89.5
JJ Jansen,#44,LS,1.0,1.0,1.0,100.0,61.5,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
Calvin Throckmorton,#72,G,8.0,357.0,357.0,100.0,55.7,1 (0),334.0,100.0,0.0,3.0,13.0,16.0,97.6,210.0,210.0,100.0,49.5,195.0,100.0,0.0,3.0,10.0,13.0,96.7
Brady Christensen,#70,G,1.0,46.0,46.0,100.0,51.4,0 (0),42.0,100.0,0.0,0.0,4.0,4.0,95.2,36.0,36.0,100.0,47.9,33.0,100.0,0.0,0.0,2.0,2.0,97.0
Gabe Jackson,#69,G,4.0,110.0,110.0,100.0,48.9,1 (0),103.0,100.0,3.0,0.0,5.0,8.0,94.7,59.0,59.0,100.0,24.6,55.0,100.0,2.0,0.0,5.0,7.0,91.8
Bradley Bozeman,#56,C,17.0,730.0,730.0,100.0,48.9,1 (0),684.0,100.0,8.0,5.0,19.0,32.0,97.1,420.0,420.0,100.0,40.8,391.0,100.0,6.0,5.0,15.0,26.0,95.9
Adam Thielen,#19,WR,17.0,683.0,5.0,0.7,46.5,1 (0),5.0,0.8,0.0,0.0,0.0,0.0,100.0,409.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,
Austin Corbett,#63,G,4.0,176.0,176.0,100.0,44.5,0 (0),169.0,100.0,3.0,1.0,12.0,16.0,94.4,103.0,103.0,100.0,42.4,99.0,100.0,2.0,1.0,9.0,12.0,92.9
