SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Rank,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Player,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_JerseyNumber,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Position,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_GamesPlayed,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTotalSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalBlockSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalKickSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsOverallGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickoffGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPenalties,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTackles,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsAssists,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsMissedTackles
1.0,Tae Davis,#33,LB,8.0,142.0,38.0,24.0,37.0,43.0,0.0,0.0,77.9,-,-,-,0 (0),4.0,1.0,0.0
2.0,JJ Jansen,#44,LS,17.0,134.0,0.0,0.0,0.0,84.0,0.0,50.0,77.1,-,-,-,0 (0),2.0,0.0,0.0
3.0,Jammie Robinson,#22,S,15.0,269.0,74.0,50.0,71.0,66.0,8.0,0.0,75.8,-,-,-,2 (0),2.0,1.0,0.0
4.0,Jeremy Chinn,#21,S,12.0,173.0,28.0,22.0,28.0,49.0,46.0,0.0,75.2,-,-,-,0 (0),2.0,0.0,0.0
5.0,Claudin Cherelus,#53,LB,6.0,104.0,35.0,23.0,18.0,26.0,2.0,0.0,73.5,-,-,-,0 (0),0.0,0.0,0.0
6.0,Jordan Matthews,#85,TE,1.0,19.0,4.0,4.0,5.0,6.0,0.0,0.0,70.5,-,-,-,0 (0),0.0,0.0,0.0
7.0,Raheem Blackshear,#03,HB,12.0,113.0,57.0,8.0,47.0,0.0,1.0,0.0,68.2,65.6,-,-,0 (0),0.0,0.0,0.0
8.0,Alex Cook,#27,S,9.0,110.0,34.0,15.0,13.0,35.0,13.0,0.0,67.8,-,-,-,0 (0),1.0,2.0,1.0
9.0,Amare Barno,#90,ED,15.0,230.0,61.0,49.0,63.0,36.0,21.0,0.0,65.8,-,-,-,0 (0),3.0,1.0,5.0
10.0,Mike Strachan,#86,WR,3.0,20.0,5.0,0.0,15.0,0.0,0.0,0.0,65.3,-,-,-,0 (0),0.0,0.0,0.0
10.0,Stephen Sullivan,#84,TE,11.0,182.0,52.0,24.0,44.0,48.0,0.0,14.0,65.3,-,-,-,0 (0),1.0,0.0,1.0
