Player,JerseyNumber,Position,GamesPlayed,RunBlockingTotalSnaps,RunBlockingTotalSnaps.1,RunBlockingTotalSnapsPercentage,RunBlockingGrade,RunBlockingPenalties,RunBlockingTotalSnapsInZoneScheme,RunBlockingTotalSnapsInZoneSchemePercentage,RunBlockingGradeInZoneScheme,RunBlockingTotalSnapsInGapScheme,RunBlockingTotalSnapsInGapSchemePercentage,RunBlockingGradeInGapScheme
Ikem Ekwonu,#79,T,17.0,418.0,418.0,100.0,77.0,0 (0),230.0,55.0,77.2,168.0,40.2,74.8
Cade Mays,#68,G,8.0,167.0,167.0,100.0,71.2,1 (0),92.0,55.1,75.7,61.0,36.5,66.3
Jonathan Mingo,#15,WR,15.0,330.0,330.0,100.0,70.6,2 (0),179.0,54.2,73.4,137.0,41.5,66.1
Ihmir Smith-Marsette,#11,WR,10.0,63.0,55.0,87.3,69.4,0 (0),36.0,65.5,56.8,17.0,30.9,71.2
Bradley Bozeman,#56,C,17.0,418.0,418.0,100.0,67.5,2 (0),230.0,55.0,67.7,168.0,40.2,64.6
Taylor Moton,#72,T,17.0,418.0,418.0,100.0,65.6,0 (0),230.0,55.0,69.5,168.0,40.2,55.4
Miles Sanders,#06,HB,16.0,141.0,8.0,5.7,63.9,0 (0),3.0,37.5,60.0,2.0,25.0,60.0
Gabe Jackson,#69,G,4.0,84.0,84.0,100.0,63.1,0 (0),34.0,40.5,56.4,40.0,47.6,68.8
Ian Thomas,#80,TE,12.0,120.0,120.0,100.0,62.1,1 (0),61.0,50.8,50.1,57.0,47.5,69.1
Laviska Shenault Jr.,#05,WR,6.0,41.0,30.0,73.2,61.2,0 (0),18.0,60.0,63.3,11.0,36.7,57.3
Tae Davis,#33,LB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Alex Cook,#27,S,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
JJ Jansen,#44,LS,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Jeremy Chinn,#21,S,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Sam Franklin Jr.,#42,S,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Raheem Blackshear,#03,HB,9.0,17.0,1.0,5.9,60.0,0 (0),0.0,0.0,-,1.0,100.0,60.0
Amare Barno,#90,ED,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Kamu Grugier-Hill,#54,LB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Andy Dalton,#14,QB,3.0,14.0,12.0,85.7,60.0,0 (0),7.0,58.3,60.0,5.0,41.7,60.0
Bryce Young,#09,QB,16.0,404.0,396.0,98.0,60.0,0 (0),222.0,56.1,60.0,162.0,40.9,60.0
Brady Christensen,#70,G,1.0,31.0,31.0,100.0,57.5,0 (0),14.0,45.2,49.7,14.0,45.2,67.2
J.D. DiRenzo,#65,G,2.0,5.0,5.0,100.0,57.4,0 (0),2.0,40.0,59.8,3.0,60.0,59.5
Austin Corbett,#63,G,4.0,81.0,81.0,100.0,51.0,0 (0),48.0,59.3,45.9,31.0,38.3,62.0
Stephen Sullivan,#84,TE,9.0,35.0,35.0,100.0,49.8,0 (0),20.0,57.1,57.0,10.0,28.6,46.5
DJ Chark Jr.,#17,WR,15.0,250.0,250.0,100.0,49.5,0 (0),149.0,59.6,61.5,90.0,36.0,58.0
Justin McCray,#67,G,3.0,36.0,36.0,100.0,49.2,1 (0),19.0,52.8,50.3,17.0,47.2,53.1
Brett Toth,#64,G,1.0,30.0,30.0,100.0,49.0,0 (0),18.0,60.0,67.6,12.0,40.0,30.2
Mike Strachan,#86,WR,4.0,22.0,22.0,100.0,45.6,0 (0),11.0,50.0,61.1,11.0,50.0,40.4
Tommy Tremble,#82,TE,16.0,270.0,270.0,100.0,45.5,1 (0),140.0,51.9,50.6,115.0,42.6,43.5
Chuba Hubbard,#30,HB,17.0,257.0,17.0,6.6,45.0,0 (0),0.0,0.0,-,2.0,11.8,60.0
Calvin Throckmorton,#72,G,8.0,151.0,151.0,100.0,44.2,0 (0),88.0,58.3,51.4,59.0,39.1,39.0
Adam Thielen,#19,WR,17.0,362.0,362.0,100.0,42.9,1 (0),195.0,53.9,52.0,151.0,41.7,60.3
Chandler Zavala,#62,G,7.0,125.0,125.0,100.0,41.5,0 (0),70.0,56.0,44.2,50.0,40.0,45.9
Giovanni Ricci,#45,TE,2.0,6.0,6.0,100.0,40.9,0 (0),4.0,66.7,49.3,2.0,33.3,60.0
Terrace Marshall Jr.,#88,WR,9.0,105.0,105.0,100.0,40.0,0 (0),58.0,55.2,56.8,45.0,42.9,54.5
Nash Jensen,#66,G,7.0,131.0,131.0,100.0,38.6,0 (0),77.0,58.8,35.5,52.0,39.7,51.5
Hayden Hurst,#81,TE,9.0,69.0,69.0,100.0,28.3,1 (0),45.0,65.2,34.0,19.0,27.5,43.0
,,,,,,,,,,,,,,
