Player,JerseyNumber,Position,GamesPlayed,KickoffsGrade,KickoffsTotal,KickoffsYardsPerAttempt,KickoffsAverageFieldPosition,KickoffsOnsideAttempts,KickoffsReturnPercentage,KickoffsReturned,KickoffsYardsAllowed,KickoffsYardsPerReturnAllowed,KickoffsTouchbacks,KickoffsFairCatches,KickoffsHangtimeAverage,KickoffsHangtimeAverage.1
Eddy Pineiro,#04,K,15.0,71.1,56.0,66.8,26.6,2.0,33.9,19.0,434.0,22.8,36.0,0.0,51.0,3.99
Matthew Wright,#16,K,1.0,60.0,1.0,74.0,25.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,3.73
Kamu Grugier-Hill,#54,LB,2.0,60.0,3.0,47.3,32.3,0.0,100.0,3.0,44.0,14.7,0.0,0.0,0.0,
Johnny Hekker,#10,P,2.0,60.0,2.0,8.5,56.5,2.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,
