Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles,Team
Johnny Hekker,#10,P,17.0,136.0,0.0,2.0,0.0,84.0,0.0,50.0,46.7,60.0,60.2,-,3 (1),0.0,0.0,0.0,carolina-panthers
Eddy Pineiro,#04,K,15.0,105.0,0.0,56.0,0.0,0.0,0.0,49.0,60.8,71.1,-,58.8,0 (0),0.0,0.0,0.0,carolina-panthers
Matthew Wright,#16,K,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,60.0,60.0,-,56.0,0 (0),0.0,0.0,0.0,carolina-panthers
