Player,JerseyNumber,Position,GamesPlayed,RunBlockingTotalSnaps,RunBlockingTotalSnaps.1,RunBlockingTotalSnapsPercentage,RunBlockingGrade,RunBlockingPenalties,RunBlockingTotalSnapsInZoneScheme,RunBlockingTotalSnapsInZoneSchemePercentage,RunBlockingGradeInZoneScheme,RunBlockingTotalSnapsInGapScheme,RunBlockingTotalSnapsInGapSchemePercentage,RunBlockingGradeInGapScheme
Connor Williams,#58,C,9.0,217.0,217.0,100.0,90.5,4 (0),129.0,59.4,92.4,63.0,29.0,63.9
Chris Brooks,#35,HB,4.0,31.0,11.0,35.5,78.2,0 (0),8.0,72.7,82.2,2.0,18.2,58.0
De'Von Achane,#28,HB,12.0,127.0,13.0,10.2,77.2,0 (0),2.0,15.4,60.0,5.0,38.5,59.7
Robert Hunt,#68,G,11.0,232.0,232.0,100.0,74.7,0 (0),123.0,53.0,74.1,80.0,34.5,69.6
Terron Armstead,#72,T,11.0,221.0,221.0,100.0,72.6,2 (0),140.0,63.3,72.0,62.0,28.1,68.2
Austin Jackson,#73,T,17.0,411.0,411.0,100.0,69.5,2 (0),244.0,59.4,69.7,124.0,30.2,60.5
Tanner Conner,#80,TE,2.0,19.0,19.0,100.0,69.1,0 (0),8.0,42.1,65.0,8.0,42.1,68.5
Tyler Kroft,#82,TE,6.0,26.0,26.0,100.0,65.1,0 (0),8.0,30.8,71.0,6.0,23.1,71.8
Robert Jones,#65,G,8.0,175.0,175.0,100.0,62.3,0 (0),111.0,63.4,55.1,49.0,28.0,70.6
Darrynton Evans,#37,HB,1.0,3.0,1.0,33.3,60.0,0 (0),0.0,0.0,-,1.0,100.0,60.0
Chase Claypool,#83,WR,7.0,26.0,26.0,100.0,60.0,0 (0),23.0,88.5,48.4,3.0,11.5,52.8
Mike White,#14,QB,6.0,47.0,39.0,83.0,60.0,0 (0),26.0,66.7,60.0,13.0,33.3,60.0
Tua Tagovailoa,#01,QB,18.0,421.0,401.0,95.2,60.0,0 (0),248.0,61.8,60.0,126.0,31.4,60.0
Raheem Mostert,#31,HB,16.0,260.0,35.0,13.5,59.1,0 (0),4.0,11.4,45.2,5.0,14.3,57.9
Salvon Ahmed,#26,HB,7.0,36.0,14.0,38.9,57.4,0 (0),6.0,42.9,59.2,3.0,21.4,59.7
Kion Smith,#71,T,4.0,48.0,48.0,100.0,56.9,0 (0),26.0,54.2,55.3,19.0,39.6,60.1
Cedrick Wilson Jr.,#11,WR,16.0,263.0,263.0,100.0,56.2,1 (0),159.0,60.5,67.6,85.0,32.3,85.4
Jonotthan Harrison,#60,G,2.0,8.0,8.0,100.0,56.1,0 (0),6.0,75.0,55.7,0.0,0.0,-
Tyreek Hill,#10,WR,17.0,214.0,208.0,97.2,55.6,0 (0),121.0,58.2,59.3,73.0,35.1,55.5
Kendall Lamm,#70,T,13.0,256.0,256.0,100.0,55.3,0 (0),146.0,57.0,69.7,75.0,29.3,34.3
Jaylen Waddle,#17,WR,15.0,222.0,219.0,98.6,55.1,0 (0),141.0,64.4,62.7,64.0,29.2,64.9
Erik Ezukanma,#18,WR,2.0,15.0,11.0,73.3,54.1,0 (0),7.0,63.6,55.0,3.0,27.3,58.5
River Cracraft,#85,WR,11.0,112.0,112.0,100.0,51.7,0 (0),64.0,57.1,67.6,37.0,33.0,49.3
Braxton Berrios,#00,WR,16.0,120.0,119.0,99.2,50.2,1 (0),66.0,55.5,63.0,42.0,35.3,54.9
Durham Smythe,#81,TE,17.0,304.0,304.0,100.0,50.2,1 (0),191.0,62.8,66.6,85.0,28.0,51.0
Liam Eichenberg,#74,C,15.0,350.0,350.0,100.0,49.1,3 (0),210.0,60.0,59.4,109.0,31.1,45.9
Robbie Chosen,#03,WR,8.0,66.0,66.0,100.0,47.4,1 (0),40.0,60.6,58.5,22.0,33.3,59.3
Jeff Wilson Jr.,#23,HB,8.0,53.0,12.0,22.6,47.0,0 (0),2.0,16.7,36.7,1.0,8.3,59.7
Lester Cotton,#66,G,11.0,254.0,254.0,100.0,45.4,1 (0),169.0,66.5,47.2,62.0,24.4,55.9
Isaiah Wynn,#77,G,7.0,168.0,168.0,100.0,43.2,1 (0),86.0,51.2,45.4,57.0,33.9,44.9
Julian Hill,#89,TE,16.0,202.0,202.0,100.0,41.6,2 (0),115.0,56.9,49.0,58.0,28.7,50.9
Alec Ingold,#30,FB,18.0,241.0,239.0,99.2,40.2,0 (0),151.0,63.2,53.4,58.0,24.3,58.3
,,,,,,,,,,,,,,
