Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside
Andrew Van Ginkel,#43,ED,17.0,727.0,259.0,321.0,147.0,91.1,76.3,49.9,90.6,87.3,53.0,8.0,13.0,32.0,5.0,48.0,14.0,9.0,12.7,31.0,0.0,16.0,12.0,75.0,62.0,5.2,47.0,13.0,0.0,1.0,4.0,54.7,1 (0),561.0,105.0,3.0,56.0,1.0,0.0,0.0,0.0,561.0
Ethan Bonner,#38,CB,2.0,23.0,11.0,0.0,12.0,91.0,92.7,76.7,-,81.3,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,33.3,7.0,7.0,5.0,7.0,0.0,0.0,1.0,42.4,0 (0),0.0,1.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
Jevon Holland,#08,S,12.0,707.0,267.0,6.0,434.0,90.4,82.5,84.0,51.7,89.9,1.0,0.0,0.0,1.0,0.0,57.0,14.0,6.0,7.8,12.0,3.0,32.0,22.0,68.8,240.0,10.9,120.0,46.0,3.0,1.0,3.0,108.9,0 (0),8.0,211.0,362.0,121.0,5.0,0.0,0.0,0.0,8.0
Bradley Chubb,#02,ED,16.0,837.0,305.0,475.0,57.0,88.8,71.1,51.8,84.9,88.5,70.0,13.0,13.0,44.0,1.0,39.0,22.0,12.0,16.4,39.0,6.0,5.0,4.0,80.0,10.0,2.5,18.0,9.0,0.0,0.0,0.0,79.2,4 (1),816.0,5.0,0.0,15.0,0.0,0.0,0.0,2.0,814.0
Da'Shawn Hand,#93,DI,16.0,219.0,100.0,119.0,0.0,87.6,84.3,35.4,68.5,64.3,9.0,1.0,2.0,6.0,1.0,11.0,7.0,3.0,14.3,8.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,1.0,0.0,0 (0),219.0,0.0,0.0,0.0,0.0,5.0,184.0,30.0,0.0
Jaelan Phillips,#15,ED,8.0,366.0,126.0,208.0,32.0,79.8,77.7,77.5,71.2,64.6,27.0,7.0,4.0,16.0,1.0,26.0,9.0,1.0,2.8,22.0,0.0,1.0,1.0,100.0,9.0,9.0,2.0,9.0,0.0,1.0,0.0,64.6,1 (1),350.0,3.0,0.0,13.0,0.0,0.0,0.0,1.0,349.0
Calvin Munson,#50,LB,2.0,12.0,3.0,0.0,9.0,79.4,73.3,75.0,-,65.7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Channing Tindall,#41,LB,2.0,12.0,7.0,0.0,5.0,78.2,74.2,79.0,-,64.3,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Brandon Jones,#29,S,14.0,542.0,201.0,11.0,330.0,75.4,64.4,54.1,75.7,76.2,4.0,0.0,2.0,2.0,0.0,48.0,6.0,11.0,16.9,15.0,2.0,14.0,10.0,71.4,55.0,5.5,29.0,9.0,1.0,2.0,0.0,62.2,1 (0),6.0,119.0,361.0,54.0,1.0,0.0,0.0,0.0,6.0
Justin Houston,#52,ED,1.0,22.0,9.0,13.0,0.0,74.1,72.9,72.4,58.2,77.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
Cam Smith,#24,CB,5.0,22.0,7.0,0.0,15.0,73.3,61.3,75.2,-,73.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,100.0,24.0,8.0,16.0,11.0,0.0,0.0,0.0,100.0,0 (0),0.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
Christian Wilkins,#94,DI,18.0,968.0,358.0,609.0,1.0,71.8,69.5,54.8,70.8,64.5,61.0,10.0,17.0,34.0,2.0,40.0,15.0,7.0,11.3,34.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,7 (0),966.0,0.0,0.0,0.0,0.0,31.0,661.0,254.0,20.0
Cameron Goode,#53,ED,9.0,75.0,24.0,40.0,11.0,71.7,73.2,74.2,63.1,64.6,4.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,25.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),70.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,70.0
Duke Riley,#45,LB,16.0,473.0,185.0,46.0,242.0,71.5,69.3,41.8,76.0,64.2,9.0,0.0,2.0,7.0,0.0,38.0,9.0,10.0,17.5,20.0,1.0,29.0,24.0,82.8,269.0,11.2,185.0,29.0,1.0,0.0,1.0,116.8,0 (0),5.0,451.0,0.0,10.0,5.0,0.0,0.0,0.0,5.0
Braxton Berrios,#00,WR,2.0,2.0,1.0,0.0,1.0,70.6,60.0,-,-,60.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeShon Elliott,#21,S,16.0,987.0,367.0,1.0,619.0,68.6,83.5,73.4,66.9,60.3,1.0,0.0,0.0,1.0,0.0,63.0,30.0,9.0,8.8,11.0,0.0,36.0,24.0,66.7,314.0,13.1,114.0,49.0,3.0,1.0,6.0,110.2,1 (0),13.0,266.0,589.0,113.0,6.0,0.0,0.0,0.0,13.0
Zach Sieler,#92,DI,18.0,924.0,351.0,573.0,0.0,68.3,63.4,29.9,67.1,68.6,60.0,9.0,12.0,39.0,4.0,37.0,15.0,10.0,16.1,37.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,1.0,0.0,0.0,3 (1),920.0,2.0,0.0,0.0,0.0,13.0,711.0,173.0,23.0
Justin Bethel,#20,CB,10.0,126.0,35.0,5.0,86.0,67.6,65.6,85.2,90.9,62.0,2.0,1.0,0.0,1.0,0.0,9.0,3.0,0.0,0.0,5.0,0.0,9.0,8.0,88.9,78.0,9.8,18.0,24.0,3.0,0.0,0.0,142.4,0 (0),0.0,30.0,1.0,88.0,5.0,0.0,0.0,0.0,0.0
Jerome Baker,#55,LB,13.0,713.0,262.0,54.0,397.0,66.6,56.7,58.0,57.9,74.4,11.0,2.0,2.0,7.0,0.0,61.0,12.0,10.0,12.0,32.0,0.0,51.0,45.0,88.2,354.0,7.9,223.0,35.0,2.0,2.0,0.0,92.3,2 (2),11.0,653.0,3.0,40.0,6.0,0.0,1.0,0.0,10.0
Jalen Ramsey,#05,CB,11.0,659.0,236.0,2.0,421.0,65.6,68.8,66.3,55.9,65.0,0.0,0.0,0.0,0.0,0.0,21.0,5.0,2.0,7.1,5.0,0.0,42.0,23.0,54.8,272.0,11.8,77.0,36.0,1.0,3.0,2.0,52.9,5 (3),1.0,40.0,2.0,15.0,601.0,0.0,0.0,0.0,1.0
Kader Kohou,#04,CB,18.0,985.0,328.0,17.0,640.0,64.8,69.8,42.6,88.7,62.0,5.0,1.0,4.0,0.0,1.0,60.0,9.0,13.0,15.9,23.0,0.0,85.0,71.0,83.5,791.0,11.1,342.0,55.0,7.0,0.0,2.0,132.9,4 (2),4.0,91.0,1.0,647.0,242.0,0.0,0.0,0.0,4.0
David Long Jr.,#51,LB,18.0,899.0,357.0,88.0,454.0,62.5,92.6,58.3,62.1,29.8,23.0,1.0,5.0,17.0,1.0,84.0,33.0,17.0,12.7,48.0,1.0,53.0,42.0,79.2,509.0,12.1,310.0,48.0,1.0,0.0,0.0,113.0,2 (0),24.0,696.0,0.0,175.0,4.0,0.0,0.0,0.0,24.0
Parry Nickerson,#34,CB,3.0,84.0,25.0,6.0,53.0,61.1,65.8,79.9,68.4,58.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,60.0,30.0,10.0,13.0,16.0,0.0,0.0,0.0,77.1,2 (0),0.0,7.0,1.0,63.0,13.0,0.0,0.0,0.0,0.0
