Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles,Team
Jason Sanders,#07,K,18.0,178.0,0.0,90.0,0.0,0.0,0.0,88.0,61.0,83.1,-,81.0,0 (0),1.0,0.0,0.0,miami-dolphins
Jake Bailey,#16,P,18.0,155.0,0.0,10.0,0.0,57.0,0.0,88.0,63.7,66.5,69.6,-,0 (0),0.0,0.0,0.0,miami-dolphins
Blake Ferguson,#44,LS,18.0,145.0,0.0,0.0,0.0,57.0,0.0,88.0,53.2,-,-,-,1 (0),0.0,0.0,0.0,miami-dolphins
