Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,BlockingTotalSnaps,BlockingTotalSnapsPercentage,RunBlockingSnaps,PassBlockingSnaps,OffenseOverallGrade,RunBlockingGrade,PassBlockingGrade,PressuresAllowedTotalSnaps,PressuresAllowedTotalSnapsPercentage,PressuresAllowedSacks,PressuresAllowedHits,PressuresAllowedHurries,PressuresAllowedTotal,PressuresAllowedEfficiency,Penalties,SnapsAtLeftTackle,SnapsAtLeftGuard,SnapsAtCenter,SnapsAtRightGuard,SnapsAtRightTackle,SnapsAtInlineTightEnd
Kion Smith,#71,T,5.0,70,70,100.0,48.0,22.0,60.3,56.9,86.1,21.0,100.0,0.0,0.0,0.0,0.0,100.0,1 (0),54.0,0.0,0.0,0.0,16,0.0
Terron Armstead,#72,T,11.0,585,585,100.0,221.0,364.0,79.3,72.6,79.5,348.0,100.0,1.0,0.0,6.0,7.0,98.9,3 (0),585.0,0.0,0.0,0.0,0,0.0
Alec Ingold,#30,FB,18.0,425,269,63.3,239.0,30.0,47.1,40.2,77.2,29.0,16.5,0.0,0.0,1.0,1.0,98.3,1 (0),0.0,0.0,0.0,0.0,0,81.0
Robert Hunt,#68,G,11.0,608,608,100.0,232.0,376.0,76.4,74.7,74.4,360.0,100.0,1.0,1.0,3.0,5.0,99.2,2 (1),0.0,0.0,0.0,608.0,0,0.0
Connor Williams,#58,C,9.0,497,497,100.0,217.0,280.0,86.5,90.5,71.7,269.0,100.0,1.0,1.0,4.0,6.0,98.7,7 (0),0.0,0.0,497.0,0.0,0,0.0
Braxton Berrios,#00,WR,17.0,469,121,25.8,119.0,2.0,57.6,50.2,69.3,2.0,0.6,0.0,0.0,0.0,0.0,100.0,2 (1),0.0,0.0,0.0,0.0,0,0.0
Isaiah Wynn,#77,G,7.0,392,392,100.0,168.0,224.0,47.8,43.2,67.5,213.0,100.0,0.0,0.0,4.0,4.0,99.1,3 (0),0.0,392.0,0.0,0.0,0,0.0
Jonotthan Harrison,#60,G,2.0,9,9,100.0,8.0,1.0,57.1,56.1,67.2,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,9.0,0.0,0,0.0
Kendall Lamm,#70,T,13.0,613,613,100.0,256.0,357.0,64.3,55.3,67.1,343.0,100.0,4.0,1.0,15.0,20.0,96.5,0 (0),520.0,0.0,0.0,0.0,93,0.0
Raheem Mostert,#31,HB,16.0,582,69,11.9,35.0,34.0,84.7,59.1,66.0,30.0,9.9,0.0,1.0,2.0,3.0,95.0,1 (0),0.0,0.0,0.0,0.0,0,2.0
De'Von Achane,#28,HB,12.0,323,14,4.3,13.0,1.0,92.1,77.2,65.7,1.0,0.5,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0.0,0.0,0,1.0
Chase Claypool,#83,WR,8.0,55,27,49.1,26.0,1.0,60.9,60.0,65.6,1.0,3.6,0.0,0.0,0.0,0.0,100.0,1 (0),0.0,0.0,0.0,0.0,0,0.0
Austin Jackson,#73,T,17.0,"1,050","1,050",100.0,411.0,639.0,66.9,69.5,62.3,610.0,100.0,5.0,4.0,17.0,26.0,97.5,9 (2),0.0,0.0,0.0,0.0,"1,049",1.0
Durham Smythe,#81,TE,17.0,839,390,46.5,304.0,86.0,53.7,50.2,61.2,82.0,16.0,1.0,1.0,4.0,6.0,95.7,1 (0),0.0,0.0,0.0,0.0,0,365.0
Lester Cotton,#66,G,11.0,616,616,100.0,254.0,362.0,46.4,45.4,57.2,347.0,100.0,3.0,3.0,14.0,20.0,96.7,5 (1),0.0,472.0,0.0,144.0,0,0.0
Tyler Kroft,#82,TE,6.0,43,29,67.4,26.0,3.0,56.6,65.1,54.8,3.0,17.6,0.0,0.0,0.0,0.0,100.0,1 (0),0.0,0.0,0.0,0.0,0,34.0
Robert Jones,#65,G,8.0,479,479,100.0,175.0,304.0,57.6,62.3,49.3,290.0,100.0,2.0,1.0,11.0,14.0,97.2,4 (0),0.0,218.0,0.0,261.0,0,0.0
Liam Eichenberg,#74,C,17.0,876,876,100.0,350.0,526.0,45.2,49.1,43.2,503.0,100.0,5.0,3.0,16.0,24.0,97.1,7 (2),0.0,77.0,653.0,146.0,0,0.0
Julian Hill,#89,TE,16.0,360,236,65.6,202.0,34.0,41.8,41.6,41.2,34.0,23.0,1.0,0.0,1.0,2.0,95.6,4 (0),0.0,0.0,0.0,0.0,1,199.0
Salvon Ahmed,#26,HB,8.0,135,18,13.3,14.0,4.0,61.0,57.4,36.4,4.0,4.2,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0.0,0.0,0,0.0
Jeff Wilson Jr.,#23,HB,11.0,161,22,13.7,12.0,10.0,59.5,47.0,27.1,9.0,8.6,0.0,0.0,1.0,1.0,94.4,0 (0),0.0,0.0,0.0,0.0,0,0.0
Darrynton Evans,#37,HB,1.0,5,1,20.0,1.0,0.0,32.7,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0.0,0.0,0,0.0
Erik Ezukanma,#18,WR,2.0,29,11,37.9,11.0,0.0,60.3,54.1,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0.0,0.0,0,0.0
Chris Brooks,#35,HB,4.0,36,11,30.6,11.0,0.0,82.0,78.2,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0.0,0.0,0,2.0
Tanner Conner,#80,TE,3.0,20,19,95.0,19.0,0.0,69.8,69.1,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0.0,0.0,0,10.0
Mike White,#14,QB,6.0,53,39,73.6,39.0,0.0,52.5,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0.0,0.0,0,0.0
Robbie Chosen,#03,WR,9.0,135,66,48.9,66.0,0.0,64.5,47.4,-,0.0,0.0,0.0,0.0,0.0,0.0,,1 (0),0.0,0.0,0.0,0.0,0,1.0
River Cracraft,#85,WR,11.0,208,112,53.8,112.0,0.0,66.7,51.7,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0.0,0.0,0,3.0
Tyreek Hill,#10,WR,17.0,735,208,28.3,208.0,0.0,93.4,55.6,-,0.0,0.0,0.0,0.0,0.0,0.0,,3 (0),0.0,0.0,0.0,0.0,0,10.0
