SCHEDULE_2023_SCHEDULE_2023_Week,SCHEDULE_2023_SCHEDULE_2023_Away,SCHEDULE_2023_SCHEDULE_2023_Opponent,SCHEDULE_2023_SCHEDULE_2023_Date,SCHEDULE_2023_SCHEDULE_2023_Time,SCHEDULE_2023_SCHEDULE_2023_Result,SCHEDULE_2023_SCHEDULE_2023_PointsFor,SCHEDULE_2023_SCHEDULE_2023_PointsAgainst,SCHEDULE_2023_SCHEDULE_2023_OverallGrade,SCHEDULE_2023_SCHEDULE_2023_OffenseGrade,SCHEDULE_2023_SCHEDULE_2023_PassingGrade,SCHEDULE_2023_SCHEDULE_2023_PassBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_ReceivingGrade,SCHEDULE_2023_SCHEDULE_2023_RushingGrade,SCHEDULE_2023_SCHEDULE_2023_RunBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_DefenseGrade,SCHEDULE_2023_SCHEDULE_2023_RunDefenseGrade,SCHEDULE_2023_SCHEDULE_2023_TacklingGrade,SCHEDULE_2023_SCHEDULE_2023_PassRushGrade,SCHEDULE_2023_SCHEDULE_2023_CoverageGrade,SCHEDULE_2023_SCHEDULE_2023_SpecialTeamsGrade,SCHEDULE_2023_SCHEDULE_2023_GameReports
1,@,Los Angeles Chargers,09/10,4:25pm,W,36.0,34.0,80.5,90.1,92.8,71.1,84.7,68.9,59.7,59.5,48.8,69.7,60.4,65.9,68.8,Game Reports
2,@,New England Patriots,09/17,8:20pm,W,24.0,17.0,85.4,77.6,75.8,76.1,71.1,76.3,61.4,84.4,75.4,65.5,72.8,82.0,62.8,Game Reports
3,,Denver Broncos,09/24,1:00pm,W,70.0,20.0,92.6,93.5,90.5,89.0,90.5,95.0,50.5,74.6,63.8,62.2,62.6,77.3,49.3,Game Reports
4,@,Buffalo Bills,10/01,1:00pm,L,20.0,48.0,56.4,58.8,59.1,47.5,61.4,70.4,52.1,54.4,62.6,32.8,64.4,45.1,55.6,Game Reports
5,,New York Giants,10/08,1:00pm,W,31.0,16.0,88.4,79.4,56.5,75.3,73.3,90.2,75.1,86.4,86.9,54.3,90.4,67.5,59.3,Game Reports
6,,Carolina Panthers,10/15,1:00pm,W,42.0,21.0,77.8,77.4,77.2,73.6,78.5,82.2,48.2,70.1,74.1,59.6,77.2,56.7,48.4,Game Reports
7,@,Philadelphia Eagles,10/22,8:20pm,L,17.0,31.0,74.4,73.2,85.0,49.2,72.2,77.7,47.5,66.1,71.3,55.6,66.8,61.3,73.3,Game Reports
8,,New England Patriots,10/29,1:00pm,W,31.0,17.0,76.8,65.8,71.5,68.5,68.2,52.9,46.8,84.6,73.6,64.7,74.7,80.8,71.0,Game Reports
9,@,Kansas City Chiefs,11/05,9:30am,L,14.0,21.0,62.1,65.1,72.2,74.3,59.5,59.2,57.8,55.9,50.4,61.3,61.0,56.1,57.7,Game Reports
11,,Las Vegas Raiders,11/19,1:00pm,W,20.0,13.0,78.2,72.6,69.9,68.3,75.3,51.0,69.5,75.7,74.0,65.6,68.0,71.0,71.0,Game Reports
12,@,New York Jets,11/24,3:00pm,W,34.0,13.0,87.5,74.5,83.7,61.8,70.6,62.7,66.0,90.0,78.7,56.0,79.2,90.1,61.8,Game Reports
13,@,Washington Commanders,12/03,1:00pm,W,45.0,15.0,87.2,88.8,90.0,73.7,76.1,78.5,75.8,69.1,58.0,48.2,72.1,68.1,63.5,Game Reports
14,,Tennessee Titans,12/11,8:15pm,L,27.0,28.0,78.3,75.8,61.4,54.9,77.0,75.8,70.3,71.5,84.6,79.0,75.5,54.9,60.7,Game Reports
15,,New York Jets,12/17,1:00pm,W,30.0,0.0,85.7,70.1,77.4,50.3,76.8,74.5,47.5,89.7,90.7,58.4,88.8,73.8,68.2,Game Reports
16,,Dallas Cowboys,12/24,4:25pm,W,22.0,20.0,78.1,71.4,65.8,43.6,75.6,69.5,59.7,72.3,81.5,32.0,81.1,54.2,76.7,Game Reports
17,@,Baltimore Ravens,12/31,1:00pm,L,19.0,56.0,59.9,70.6,73.0,59.6,66.2,64.7,68.7,44.4,71.9,29.1,48.0,29.3,47.8,Game Reports
18,,Buffalo Bills,01/07,8:20pm,L,14.0,21.0,67.2,63.1,63.8,67.2,64.0,73.0,48.5,69.0,87.3,64.8,69.3,48.8,57.4,Game Reports
WC,@,Kansas City Chiefs,01/13,8:00pm,L,7.0,26.0,49.9,55.4,55.5,59.0,59.3,71.1,42.4,47.6,71.8,55.1,54.1,32.0,62.2,Game Reports
,,,,,,,,,,,,,,,,,,,,,
