Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,BlockingTotalSnaps,BlockingTotalSnapsPercentage,RunBlockingSnaps,PassBlockingSnaps,OffenseOverallGrade,RunBlockingGrade,PassBlockingGrade,PressuresAllowedTotalSnaps,PressuresAllowedTotalSnapsPercentage,PressuresAllowedSacks,PressuresAllowedHits,PressuresAllowedHurries,PressuresAllowedTotal,PressuresAllowedEfficiency,Penalties,SnapsAtLeftTackle,SnapsAtLeftGuard,SnapsAtCenter,SnapsAtRightGuard,SnapsAtRightTackle,SnapsAtInlineTightEnd
Michael Burton,#20,FB,17.0,189,128,67.7,104.0,24.0,64.2,61.9,84.0,21.0,30.0,0.0,0.0,0.0,0.0,100.0,2 (1),0,0,0,0,0.0,12.0
Garett Bolles,#72,T,17.0,"1,073","1,073",100.0,424.0,649.0,75.9,64.3,83.8,603.0,100.0,3.0,2.0,27.0,32.0,97.1,8 (0),"1,057",0,0,0,0.0,15.0
Greg Dulcich,#80,TE,2.0,32,11,34.4,8.0,3.0,66.9,49.4,83.7,2.0,9.1,0.0,0.0,0.0,0.0,100.0,0 (0),2,0,0,0,0.0,12.0
Courtland Sutton,#14,WR,16.0,782,279,35.7,276.0,3.0,75.6,66.3,80.7,3.0,0.6,0.0,0.0,0.0,0.0,100.0,6 (0),0,0,0,0,0.0,9.0
Quinn Bailey,#75,G,15.0,77,75,97.4,62.0,13.0,42.0,42.5,79.3,11.0,84.6,0.0,0.0,0.0,0.0,100.0,1 (0),0,5,0,0,1.0,70.0
Lloyd Cushenberry III,#79,C,17.0,"1,070","1,070",100.0,423.0,647.0,73.2,72.4,76.4,601.0,100.0,1.0,4.0,9.0,14.0,98.8,5 (0),0,0,"1,069",0,0.0,0.0
Chris Manhertz,#84,TE,16.0,367,300,81.7,234.0,66.0,56.5,58.5,73.1,65.0,50.4,0.0,1.0,4.0,5.0,96.2,1 (0),10,0,0,0,1.0,320.0
Cam Fleming,#73,T,6.0,126,126,100.0,46.0,80.0,59.4,44.8,71.3,75.0,100.0,0.0,1.0,2.0,3.0,98.0,1 (0),0,0,0,0,125.0,1.0
Quinn Meinerz,#77,G,17.0,"1,038","1,038",100.0,404.0,634.0,83.7,88.7,67.8,588.0,100.0,2.0,5.0,16.0,23.0,97.9,4 (0),0,0,0,"1,037",0.0,0.0
Mike McGlinchey,#69,T,16.0,947,947,100.0,378.0,569.0,67.5,74.8,63.5,528.0,100.0,6.0,8.0,35.0,49.0,94.8,9 (1),0,0,0,0,941.0,5.0
Adam Trautman,#82,TE,17.0,755,379,50.2,320.0,59.0,53.2,60.1,62.1,55.0,13.8,0.0,1.0,3.0,4.0,96.4,3 (1),2,0,0,0,4.0,473.0
Ben Powers,#74,G,17.0,"1,068","1,068",100.0,419.0,649.0,61.5,59.7,62.1,603.0,100.0,4.0,2.0,25.0,31.0,97.1,3 (0),0,"1,067",0,0,0.0,0.0
