Player,JerseyNumber,Position,GamesPlayed,KickReturnsTotal,KickReturnsTotalGrade,KickoffReturnsTotal,KickoffReturnsTotalYards,KickoffReturnsTotalYards.1,KickoffReturnsLongestReturn,KickoffReturnsYardsPerAttempt,KickoffReturnsTouchdowns,KickoffReturnsFairCatches,KickoffReturnsMuffed,PuntReturnsTotal,PuntReturnsTotalReturns,PuntReturnsTotalYards,PuntReturnsTotalFairCatches,PuntReturnsTotalLongestReturn,PuntReturnsTotalYardsPerAttempt,PuntReturnsTotalTouchdowns,PuntReturnsTotalMuffed
Jaelon Darden,#16,WR,1.0,67.1,6.0,66.7,2.0,42.0,23.0,21.0,0.0,0.0,0.0,62.3,4.0,39.0,1.0,11.0,9.8,0.0,0.0
Elijah Moore,#08,WR,18.0,61.5,2.0,-,0.0,0.0,0.0,,0.0,0.0,0.0,61.8,2.0,23.0,0.0,13.0,11.5,0.0,0.0
Donovan Peoples-Jones,#11,WR,7.0,59.7,13.0,-,0.0,0.0,0.0,,0.0,0.0,0.0,59.6,13.0,84.0,8.0,13.0,6.5,0.0,1.0
James Proche II,#11,WR,11.0,59.7,26.0,61.4,3.0,19.0,19.0,6.3,0.0,1.0,0.0,58.6,23.0,199.0,28.0,21.0,8.7,0.0,1.0
Pierre Strong Jr.,#20,HB,17.0,54.8,8.0,55.3,8.0,200.0,36.0,25.0,0.0,1.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,
