season,player,pfr_id,tm,age,pos,g,gs,int,tgt,cmp,cmp_percent,yds,yds_cmp,yds_tgt,td,rat,dadot,air,yac,bltz,hrry,qbkd,sk,prss,comb,m_tkl,m_tkl_percent,loaded
2024,Taylor Rapp,RappTa00,BUF,27.0,S,7.0,7.0,0.0,15.0,8.0,0.5329999999999999,144.0,18.0,9.6,1.0,108.7,11.5,85.0,59.0,6.0,0.0,0.0,0.0,0.0,33.0,1.0,0.028999999999999998,2024-10-31
2024,Alex Singleton,SingAl00,DEN,31.0,LB,3.0,3.0,1.0,8.0,7.0,0.875,70.0,10.0,8.8,1.0,103.1,2.9,10.0,60.0,12.0,0.0,1.0,0.0,1.0,31.0,4.0,0.114,2024-10-31
2024,Jared Verse,VersJa00,LA,24.0,OLB,7.0,7.0,0.0,2.0,2.0,1.0,15.0,7.5,7.5,0.0,97.9,4.5,9.0,6.0,32.0,9.0,9.0,2.5,21.0,29.0,7.0,0.19399999999999998,2024-10-31
2024,Garrett Williams,WillGa00,ARI,23.0,CB,7.0,6.0,1.0,27.0,15.0,0.556,142.0,9.5,5.3,2.0,79.6,7.6,45.0,97.0,2.0,0.0,0.0,0.0,0.0,22.0,5.0,0.185,2024-10-31
2024,Coby Bryant,BryaCo01,SEA,25.0,CB,8.0,2.0,1.0,9.0,6.0,0.667,76.0,12.7,8.4,1.0,90.3,9.9,59.0,17.0,2.0,0.0,0.0,0.0,0.0,24.0,2.0,0.077,2024-10-31
2024,Calen Bullock,BullCa00,HOU,21.0,S,8.0,5.0,3.0,13.0,6.0,0.462,49.0,8.2,3.8,2.0,56.2,20.2,33.0,16.0,1.0,0.0,0.0,0.0,0.0,23.0,3.0,0.115,2024-10-31
2024,Maxx Crosby,CrosMa00,LV,27.0,DE,7.0,7.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,39.6,-4.0,0.0,0.0,1.0,6.0,4.0,6.5,17.0,26.0,2.0,0.071,2024-10-31
2024,Divine Deablo,DeabDi00,LV,26.0,LB,5.0,5.0,0.0,16.0,13.0,0.813,147.0,11.3,9.2,1.0,125.8,4.7,56.0,91.0,13.0,1.0,0.0,1.0,2.0,26.0,8.0,0.235,2024-10-31
2024,Marcus Epps,EppsMa00,LV,28.0,S,3.0,3.0,0.0,13.0,10.0,0.769,105.0,10.5,8.1,0.0,99.8,5.0,53.0,52.0,3.0,0.0,0.0,0.0,0.0,19.0,7.0,0.26899999999999996,2024-10-31
2024,Kendall Fuller,FullKe00,MIA,29.0,CB,6.0,6.0,0.0,18.0,11.0,0.611,130.0,11.8,7.2,0.0,83.1,10.9,93.0,37.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.042,2024-10-31
2024,CJ Gardner-Johnson,GardCh00,PHI,27.0,S,7.0,7.0,1.0,19.0,12.0,0.632,230.0,19.2,12.1,4.0,122.8,10.1,113.0,117.0,1.0,1.0,1.0,0.0,2.0,29.0,5.0,0.147,2024-10-31
2024,Jaylinn Hawkins,HawkJa00,NE,27.0,S,8.0,3.0,0.0,11.0,8.0,0.727,97.0,12.1,8.8,2.0,139.0,8.6,71.0,26.0,7.0,0.0,0.0,0.0,0.0,24.0,2.0,0.077,2024-10-31
2024,Neville Hewitt,HewiNe00,HOU,31.0,LB,8.0,2.0,1.0,6.0,3.0,0.5,15.0,5.0,2.5,0.0,16.7,10.3,5.0,10.0,5.0,0.0,0.0,0.0,0.0,25.0,2.0,0.07400000000000001,2024-10-31
2024,Ronnie Hickman,HickRo00,CLE,23.0,S,5.0,4.0,0.0,10.0,6.0,0.6,86.0,14.3,8.6,0.0,87.9,20.5,65.0,21.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.055999999999999994,2024-10-31
2024,Donte Jackson,JackDo02,PIT,29.0,CB,8.0,8.0,3.0,41.0,21.0,0.512,277.0,13.2,6.8,0.0,42.4,13.0,148.0,129.0,0.0,0.0,0.0,0.0,0.0,24.0,5.0,0.172,2024-10-31
2024,Javon Kinlaw,KinlJa00,NYJ,27.0,DT,8.0,8.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,2.0,4.0,1.0,1.5,7.0,22.0,1.0,0.043,2024-10-31
2024,Trent McDuffie,McDuTr00,KC,24.0,CB,7.0,7.0,0.0,36.0,21.0,0.583,199.0,9.5,5.5,0.0,73.7,9.7,121.0,78.0,8.0,0.0,3.0,0.0,3.0,26.0,2.0,0.071,2024-10-31
2024,Elijah Molden,MoldEl00,LAC,25.0,CB,7.0,4.0,2.0,13.0,12.0,0.9229999999999999,178.0,14.8,13.7,1.0,104.8,7.7,100.0,78.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,2024-10-31
2024,Jalen Ramsey,RamsJa00,MIA,30.0,CB,7.0,7.0,0.0,23.0,14.0,0.609,159.0,11.4,6.9,2.0,110.6,8.1,107.0,52.0,7.0,3.0,2.0,0.0,5.0,28.0,2.0,0.067,2024-10-31
2024,Malcolm Rodriguez,RodrMa00,DET,25.0,LB,7.0,3.0,0.0,13.0,12.0,0.9229999999999999,83.0,6.9,6.4,0.0,93.3,3.8,44.0,39.0,25.0,0.0,0.0,2.0,2.0,26.0,2.0,0.071,2024-10-31
2024,Eric Stokes,StokEr00,GB,25.0,CB,8.0,5.0,0.0,35.0,23.0,0.657,299.0,13.0,8.5,2.0,111.5,11.8,212.0,87.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,0.08,2024-10-31
2024,Donovan Wilson,WilsDo01,DAL,29.0,S,7.0,7.0,1.0,16.0,12.0,0.75,211.0,17.6,13.2,3.0,130.2,8.3,93.0,118.0,9.0,0.0,0.0,1.0,1.0,35.0,4.0,0.10300000000000001,2024-10-31
2024,Isaac Yiadom,YiadIs00,SF,28.0,CB,8.0,2.0,0.0,25.0,13.0,0.52,174.0,13.4,7.0,1.0,87.7,10.6,111.0,63.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2024-10-31
