Player,JerseyNumber,Position,GamesPlayed,RunDefenseSnaps,RunDefenseGrade,RunDefenseTackles,RunDefenseAssists,RunDefenseMissedTackles,RunDefenseMissedTacklePercentage,RunDefenseStops,RunDefenseStopPercentage,RunDefenseForcedFumbles,RunDefenseAverageDepthOfTackle,RunDefensePenalties
Minkah Fitzpatrick,#39,S,11.0,260.0,83.1,23.0,16.0,1.0,2.5,8.0,3.1,0.0,9.0,3 (0)
T.J. Watt,#90,ED,17.0,323.0,80.7,29.0,10.0,6.0,13.3,24.0,7.6,0.0,1.8,4 (0)
Blake Martinez,#40,LB,1.0,14.0,79.7,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0 (0)
Nick Herbig,#51,ED,17.0,107.0,78.1,12.0,4.0,2.0,11.1,9.0,8.6,1.0,2.4,0 (0)
Alex Highsmith,#56,ED,18.0,357.0,77.3,29.0,17.0,5.0,9.8,24.0,6.9,0.0,2.0,3 (1)
Markus Golden,#44,ED,16.0,143.0,75.3,9.0,3.0,0.0,0.0,9.0,6.5,0.0,0.9,0 (0)
Armon Watts,#94,DI,16.0,131.0,75.2,9.0,8.0,1.0,5.6,9.0,7.0,0.0,2.6,0 (0)
Elandon Roberts,#50,LB,17.0,287.0,72.5,44.0,16.0,5.0,7.7,31.0,11.1,0.0,2.2,1 (0)
Miles Killebrew,#28,S,7.0,17.0,72.4,2.0,1.0,0.0,0.0,2.0,12.5,0.0,1.0,0 (0)
Cole Holcomb,#55,LB,8.0,182.0,72.2,24.0,13.0,1.0,2.6,16.0,9.1,0.0,4.4,1 (0)
Myles Jack,#16,LB,4.0,39.0,72.0,3.0,2.0,1.0,16.7,1.0,2.6,0.0,6.0,2 (0)
Eric Rowe,#25,S,4.0,64.0,71.7,11.0,2.0,0.0,0.0,2.0,3.1,1.0,7.6,0 (0)
Cameron Heyward,#97,DI,12.0,192.0,67.7,27.0,7.0,2.0,5.6,22.0,11.7,0.0,2.6,0 (0)
Mark Robinson,#93,LB,9.0,102.0,66.8,16.0,6.0,1.0,4.3,8.0,7.9,1.0,3.5,1 (0)
Keanu Neal,#31,S,9.0,154.0,65.1,17.0,7.0,5.0,17.2,7.0,4.8,0.0,7.1,1 (0)
Joey Porter Jr.,#24,CB,15.0,290.0,64.7,8.0,3.0,2.0,15.4,2.0,0.7,0.0,7.9,12 (4)
James Pierre,#42,CB,3.0,4.0,61.2,0.0,0.0,0.0,,0.0,0.0,0.0,,2 (0)
Darius Rush,#21,CB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Desmond King II,#25,CB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Keeanu Benton,#95,DI,18.0,235.0,58.9,21.0,14.0,2.0,5.4,15.0,6.5,1.0,3.4,1 (0)
Isaiahh Loudermilk,#92,DI,15.0,107.0,57.8,10.0,4.0,2.0,12.5,8.0,7.6,0.0,2.4,0 (0)
Patrick Peterson,#20,CB,18.0,438.0,57.1,14.0,5.0,2.0,9.5,3.0,0.7,0.0,7.4,5 (1)
Damontae Kazee,#23,S,15.0,280.0,55.7,16.0,7.0,5.0,17.9,2.0,0.7,0.0,9.0,2 (1)
Larry Ogunjobi,#99,DI,18.0,320.0,53.2,29.0,18.0,7.0,13.0,22.0,7.1,0.0,2.0,1 (0)
Montravius Adams,#57,DI,14.0,173.0,50.6,16.0,10.0,3.0,10.3,12.0,7.2,1.0,1.7,1 (0)
Mykal Walker,#38,LB,9.0,134.0,50.2,11.0,9.0,4.0,16.7,9.0,6.8,0.0,3.1,1 (0)
DeMarvin Leal,#98,DI,12.0,99.0,48.1,9.0,4.0,1.0,7.1,7.0,7.3,0.0,2.6,0 (0)
Elijah Riley,#37,S,5.0,14.0,47.9,2.0,0.0,2.0,50.0,1.0,7.1,0.0,4.0,0 (0)
Levi Wallace,#29,CB,16.0,260.0,44.1,9.0,0.0,3.0,25.0,1.0,0.4,0.0,8.6,1 (0)
Trenton Thompson,#17,S,5.0,81.0,42.9,10.0,1.0,3.0,21.4,2.0,2.5,0.0,11.3,0 (0)
Chandon Sullivan,#34,CB,18.0,150.0,42.4,3.0,1.0,0.0,0.0,2.0,1.4,0.0,4.7,3 (0)
Kwon Alexander,#54,LB,9.0,145.0,30.3,11.0,4.0,7.0,31.8,4.0,2.9,0.0,3.5,0 (0)
,,,,,,,,,,,,,,
