Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
Del'Shawn Phillips,#53,LB,17.0,373.0,72.0,103.0,80.0,67.0,51.0,0.0,85.0,-,-,-,0 (0),3.0,3.0,0.0
Trenton Simpson,#30,LB,17.0,297.0,60.0,99.0,62.0,67.0,9.0,0.0,82.6,-,-,-,1 (0),5.0,3.0,0.0
Laquon Treadwell,#18,WR,5.0,87.0,18.0,29.0,18.0,22.0,0.0,0.0,80.7,-,-,-,0 (0),2.0,0.0,0.0
Malik Harrison,#40,LB,16.0,348.0,65.0,97.0,75.0,62.0,49.0,0.0,78.2,-,-,-,1 (0),5.0,1.0,0.0
Dan Chisena,#83,WR,2.0,34.0,7.0,10.0,8.0,9.0,0.0,0.0,77.9,-,-,-,0 (0),2.0,0.0,0.0
Devin Duvernay,#13,WR,15.0,171.0,61.0,19.0,72.0,19.0,0.0,0.0,76.2,58.2,76.8,-,0 (0),2.0,0.0,0.0
Jeremiah Moon,#48,ED,9.0,157.0,34.0,54.0,33.0,33.0,3.0,0.0,76.2,-,-,-,0 (0),2.0,0.0,0.0
Josh Ross,#51,LB,5.0,103.0,22.0,30.0,19.0,20.0,12.0,0.0,75.1,-,-,-,0 (0),0.0,0.0,0.0
Daryl Worley,#41,S,12.0,238.0,48.0,66.0,45.0,38.0,41.0,0.0,73.3,-,-,-,0 (0),2.0,1.0,2.0
Keaton Mitchell,#34,HB,8.0,63.0,6.0,19.0,11.0,5.0,22.0,0.0,73.1,-,-,-,0 (0),1.0,0.0,1.0
Brandon Stephens,#21,CB,18.0,111.0,8.0,74.0,5.0,13.0,11.0,0.0,72.1,-,-,-,0 (0),2.0,1.0,0.0
Arthur Maulet,#10,CB,16.0,221.0,48.0,88.0,69.0,0.0,16.0,0.0,70.9,-,-,-,0 (0),4.0,0.0,0.0
Andrew Adams,#37,S,3.0,50.0,6.0,17.0,12.0,12.0,3.0,0.0,70.3,-,-,-,0 (0),0.0,0.0,0.0
Ronald Darby,#28,CB,10.0,70.0,0.0,45.0,25.0,0.0,0.0,0.0,68.9,-,-,-,0 (0),3.0,0.0,0.0
Tavius Robinson,#95,ED,19.0,272.0,12.0,30.0,73.0,1.0,59.0,97.0,66.9,-,-,-,0 (0),1.0,0.0,0.0
Kevin Zeitler,#70,G,17.0,85.0,0.0,0.0,0.0,0.0,0.0,85.0,65.1,-,-,-,0 (0),0.0,0.0,0.0
Broderick Washington,#96,DI,18.0,97.0,0.0,0.0,22.0,0.0,54.0,21.0,64.9,-,-,-,0 (0),0.0,0.0,0.0
Kevon Seymour,#25,CB,8.0,154.0,25.0,36.0,39.0,34.0,20.0,0.0,64.3,-,-,-,0 (0),1.0,0.0,1.0
