Player,JerseyNumber,Position,GamesPlayed,KickoffsGrade,KickoffsTotal,KickoffsYardsPerAttempt,KickoffsAverageFieldPosition,KickoffsOnsideAttempts,KickoffsReturnPercentage,KickoffsReturned,KickoffsYardsAllowed,KickoffsYardsPerReturnAllowed,KickoffsTouchbacks,KickoffsFairCatches,KickoffsHangtimeAverage,KickoffsHangtimeAverage.1
Justin Tucker,#09,K,19.0,81.0,110.0,69.3,25.6,1.0,19.1,21.0,482.0,23.0,87.0,2.0,103.0,3.95
Jordan Stout,#11,P,4.0,60.0,4.0,63.3,33.5,0.0,75.0,3.0,46.0,15.3,0.0,0.0,3.0,4.56
,,,,,,,,,,,,,,,,
