Player,JerseyNumber,Position,GamesPlayed,PassBlockingTotalSnaps,PassBlockingTotalSnaps.1,PassBlockingTotalSnapsPercentage,PassBlockingGrade,PassBlockingPenalties,PassBlockingPressuresAllowedTotalSnaps,PassBlockingPressuresAllowedTotalSnapsPercentage,PassBlockingPressuresAllowedSacks,PassBlockingPressuresAllowedHits,PassBlockingPressuresAllowedHurries,PassBlockingPressuresAllowedTotal,PassBlockingPressuresAllowedEfficiency,TruePassSetSnaps,TruePassSetSnaps.1,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetPressuresAllowedTotalSnaps,TruePassSetPressuresAllowedTotalSnapsPercentage,TruePassSetPressuresAllowedSacks,TruePassSetPressuresAllowedHits,TruePassSetPressuresAllowedHurries,TruePassSetPressuresAllowedTotal,TruePassSetPressuresAllowedEfficiency
Kevin Zeitler,#70,G,17.0,650.0,650.0,100.0,82.3,3 (1),608.0,100.0,3.0,1.0,17.0,21.0,98.0,306.0,306.0,100.0,71.9,281.0,100.0,3.0,1.0,14.0,18.0,96.3
Ben Cleveland,#66,G,8.0,76.0,76.0,100.0,80.7,0 (0),75.0,100.0,0.0,0.0,3.0,3.0,98.0,38.0,38.0,100.0,71.1,37.0,100.0,0.0,0.0,3.0,3.0,95.9
Tyler Linderbaum,#64,C,17.0,610.0,610.0,100.0,78.3,0 (0),572.0,100.0,0.0,3.0,15.0,18.0,98.4,296.0,296.0,100.0,77.7,274.0,100.0,0.0,2.0,11.0,13.0,97.6
Morgan Moses,#78,T,16.0,524.0,524.0,100.0,77.0,1 (1),490.0,100.0,6.0,0.0,20.0,26.0,96.7,236.0,236.0,100.0,71.7,217.0,100.0,5.0,0.0,11.0,16.0,95.2
Ronnie Stanley,#79,T,15.0,500.0,500.0,100.0,75.9,5 (0),472.0,100.0,5.0,5.0,32.0,42.0,95.0,240.0,240.0,100.0,64.2,224.0,100.0,4.0,3.0,26.0,33.0,91.7
Mark Andrews,#89,TE,11.0,316.0,7.0,2.2,71.0,0 (0),6.0,2.0,0.0,0.0,0.0,0.0,100.0,152.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Patrick Mekari,#65,T,17.0,323.0,323.0,100.0,63.1,1 (0),302.0,100.0,5.0,3.0,12.0,20.0,95.9,158.0,158.0,100.0,62.8,143.0,100.0,4.0,2.0,6.0,12.0,94.4
Patrick Ricard,#42,FB,19.0,169.0,48.0,28.4,62.8,0 (0),46.0,28.8,0.0,0.0,4.0,4.0,95.7,45.0,4.0,8.9,10.9,4.0,10.0,0.0,0.0,2.0,2.0,75.0
Sam Mustipher,#61,C,7.0,110.0,110.0,100.0,61.0,0 (0),105.0,100.0,0.0,0.0,2.0,2.0,99.0,45.0,45.0,100.0,40.8,41.0,100.0,0.0,0.0,2.0,2.0,97.6
John Simpson,#76,G,19.0,720.0,720.0,100.0,59.2,7 (1),677.0,100.0,1.0,7.0,23.0,31.0,97.6,341.0,341.0,100.0,57.1,315.0,100.0,1.0,3.0,17.0,21.0,96.5
Justice Hill,#43,HB,18.0,375.0,78.0,20.8,58.8,0 (0),73.0,20.9,2.0,0.0,6.0,8.0,93.2,206.0,49.0,23.8,41.5,45.0,23.8,2.0,0.0,6.0,8.0,88.9
Charlie Kolar,#88,TE,13.0,81.0,13.0,16.0,55.1,0 (0),13.0,16.7,0.0,0.0,1.0,1.0,96.2,29.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Gus Edwards,#35,HB,19.0,237.0,52.0,21.9,55.1,1 (0),47.0,20.7,0.0,0.0,3.0,3.0,96.8,86.0,11.0,12.8,54.8,10.0,12.3,0.0,0.0,2.0,2.0,90.0
J.K. Dobbins,#27,HB,1.0,18.0,2.0,11.1,48.2,0 (0),2.0,12.5,0.0,0.0,1.0,1.0,75.0,10.0,2.0,20.0,48.2,2.0,22.2,0.0,0.0,1.0,1.0,75.0
Daniel Faalele,#77,T,12.0,103.0,103.0,100.0,43.6,0 (0),100.0,100.0,3.0,2.0,5.0,10.0,93.5,55.0,55.0,100.0,43.7,53.0,100.0,2.0,2.0,4.0,8.0,90.6
Isaiah Likely,#80,TE,19.0,367.0,7.0,1.9,40.5,2 (0),7.0,2.0,0.0,0.0,0.0,0.0,100.0,178.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Melvin Gordon III,#33,HB,4.0,23.0,5.0,21.7,36.9,0 (0),5.0,22.7,0.0,0.0,1.0,1.0,90.0,10.0,2.0,20.0,18.3,2.0,20.0,0.0,0.0,1.0,1.0,75.0
Laquon Treadwell,#18,WR,3.0,40.0,1.0,2.5,36.3,0 (0),1.0,2.6,0.0,0.0,1.0,1.0,50.0,22.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Nelson Agholor,#15,WR,19.0,419.0,1.0,0.2,36.3,0 (0),1.0,0.3,0.0,0.0,1.0,1.0,50.0,214.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Keaton Mitchell,#34,HB,7.0,67.0,12.0,17.9,35.9,0 (0),12.0,19.0,1.0,0.0,1.0,2.0,87.5,29.0,5.0,17.2,29.0,5.0,19.2,0.0,0.0,1.0,1.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
